scope,song,genre,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,song_kind,seg_voiced,onset_ratio_vd,plan_v02,accent_stems,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman,n_segments,seg_best_drums,seg_best_other,seg_best_vocals,seg_best_bass,seg_plan_agree,seg_plan_agree_top2
song,-OutsideRRequieM-,オンゲキ＆CHUNITHM,13.6,181.0,,,,,,,104,817,519,0.0,-10.0,3.89,0.393,0.373,0.337,0.456,34,0.5,0.5,7.856,,8.128,0.177,3.025,-1.818,vocal,,,,,,,,,,,,,,,,0.736,0.146,0.181,0.181,0.559,3.135,1.549,1.373,2.546,0.123,0.497,tail_kill,1.082,0.661,9,9,0,0,0,1.0,1.0
song,7thSense,maimai,14.4,150.0,,,,,,,80,859,612,0.0,0.0,7.0,0.717,0.723,0.729,0.703,2,0.75,0.75,10.738,,12.32,0.264,3.644,-2.486,instrumental,,,,,,,,,,,,,,,,0.578,0.141,0.159,0.054,0.667,2.686,1.597,2.465,2.394,0.294,0.607,tail_kill,1.257,0.933,9,8,1,0,0,0.889,1.0
song,ARROW,niconico＆ボーカロイド,13.3,131.0,,,,,,,68,657,448,0.0,7.5,11.52,0.384,0.423,0.457,0.575,24,0.75,0.75,9.662,,11.231,-0.2,2.512,-0.207,vocal,,,,,,,,,,,,,,,,0.643,0.216,0.125,0.23,0.599,3.315,1.875,1.125,2.851,0.147,0.527,tail_kill,1.281,0.687,10,10,0,0,0,1.0,1.0
song,Acceleration,maimai,13.4,180.0,,,,,,,60,464,363,0.0,-5.0,6.37,0.559,0.493,0.508,0.481,36,0.5,0.5,7.733,,8.173,0.429,2.728,-1.75,instrumental,,,,,,,,,,,,,,,,0.614,0.353,0.113,0.074,0.575,3.323,2.837,1.702,2.112,0.132,0.707,tail_kill,1.277,0.714,6,6,0,0,0,1.0,1.0
song,Aiolos,maimai,14.3,205.0,,,,,,,110,1100,821,0.0,20.0,16.41,0.552,0.505,0.478,0.434,2,0.5,1.0,10.0,,9.015,0.189,4.305,-3.435,instrumental,,,,,,,,,,,,,,,,0.571,0.136,0.25,0.117,0.468,2.272,1.604,2.154,1.284,0.223,0.67,tail_kill,1.025,0.717,14,13,0,0,1,0.929,1.0
song,Axeria,maimai,14.5,193.0,,,,,,,87,888,657,0.0,-2.5,6.52,0.38,0.368,0.466,0.401,64,0.5,1.0,10.207,,9.575,0.463,3.553,-2.839,instrumental,,,,,,,,,,,,,,,,0.504,0.122,0.441,0.105,0.719,2.375,1.999,2.438,2.003,0.195,0.742,tail_kill,1.335,0.479,10,7,3,0,0,0.8,1.0
song,B.M.S.,ゲーム＆バラエティ,14.2,200.0,,,,,,,78,853,642,0.0,5.0,7.34,0.01,0.157,0.158,-0.116,46,1.0,1.0,10.936,,8.568,1.617,4.519,-3.828,vocal,,,,,,,,,,,,,,,,0.531,0.159,0.282,0.128,0.544,2.112,1.463,1.569,1.385,0.318,0.625,tail_kill,1.143,-0.091,10,9,0,1,0,0.9,1.0
song,BAD∞END∞NIGHT,niconico＆ボーカロイド,13.5,204.0,,,,,,,80,496,367,0.0,-2.5,7.63,0.282,0.189,0.272,0.194,18,0.25,0.25,6.2,,7.212,0.433,1.357,0.183,vocal,,,,,,,,,,,,,,,,0.553,0.06,0.632,0.232,0.559,2.415,0.497,3.11,2.478,0.103,0.44,other,0.948,0.791,8,4,4,0,0,0.625,0.875
song,Back 2 Back,ゲーム＆バラエティ,13.7,150.0,,,,,,,67,381,190,0.0,7.5,7.73,0.27,0.15,0.15,0.189,18,0.75,0.75,5.687,,9.808,0.4,1.704,1.218,vocal,,,,,,,,,,,,,,,,0.926,0.668,0.463,0.226,0.207,3.333,3.371,3.118,2.03,0.037,0.235,tail_kill,1.099,0.143,7,7,0,0,0,1.0,1.0
song,Bang Babang Bang!!!,オンゲキ＆CHUNITHM,13.2,200.0,,,,,,,103,756,513,0.0,-7.5,5.31,0.628,0.529,0.503,0.641,18,0.25,0.75,7.34,,6.348,0.189,2.84,-2.445,vocal,,,,,,,,,,,,,,,,0.776,0.092,0.131,0.402,0.746,2.893,1.993,1.624,3.173,0.084,0.589,tail_kill,1.209,0.527,10,9,1,0,0,0.9,1.0
