scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,song_kind,seg_voiced,onset_ratio_vd,plan_v02,accent_stems,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
song,Back 2 Back,13.7,150.0,,,,,,,67,381,190,0.0,7.5,7.73,0.32,0.215,0.214,0.142,26,0.75,0.75,5.687,,9.808,0.494,1.938,1.247,vocal,,,,,,,,,,,,,,,,0.921,0.668,0.463,0.221,0.203,3.319,3.394,3.108,1.992,0.037,0.234,tail_kill,1.099,0.357
segment,Back 2 Back,13.7,150.0,audio_segment,0,2,12,intro,イントロ,11,,23,,,,,,,,,,,4.0,0.594,,,,,vocal,0.865,0.77,vocal,vocal,drum,vocal,drums,0.913,bass,0.826,bass,5.37,True,True,False,0.913,0.826,0.348,0.391,0.161,4.144,5.37,2.794,2.252,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,1,13,20,pre_chorus,Bメロ,8,,19,,,,,,,,,,,5.25,0.349,,,,,vocal,0.232,0.127,drum,hook,drum,hook,drums,0.895,other,0.842,bass,5.359,True,True,False,0.895,0.789,0.842,0.053,0.143,3.937,5.359,4.613,1.631,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,2,21,36,chorus,サビ,16,,49,,,,,,,,,,,6.125,0.838,,,,,vocal,0.842,0.414,vocal,bass|vocal,drum,bass,drums,0.939,bass,0.592,other,3.554,True,True,False,0.939,0.592,0.531,0.204,0.167,3.258,2.668,3.554,1.556,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,3,37,44,interlude,間奏,8,,26,,,,,,,,,,,6.375,0.424,,,,,vocal,0.101,0.015,drum,bass,drum,bass,drums,0.962,bass,0.615,vocals,8.224,True,True,False,0.962,0.615,0.077,0.038,1.0,3.523,3.371,1.133,8.224,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,4,45,52,verse,Aメロ,8,,23,,,,,,,,,,,5.75,0.702,,,,,vocal,0.644,0.311,hook,hook|vocal,drum,hook,drums,0.87,bass,0.609,bass,3.138,True,True,False,0.87,0.609,0.609,0.261,0.261,2.967,3.138,2.767,2.552,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,5,53,62,final_chorus,ラスサビ,10,,30,,,,,,,,,,,6.0,0.842,,,,,vocal,0.662,0.371,vocal,bass|vocal,drum,bass,drums,0.8,bass,0.533,other,3.35,True,True,False,0.8,0.533,0.467,0.067,0.056,2.623,2.535,3.35,0.528,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,6,63,68,quiet_chorus,落ちサビ,6,,20,,,,,,,,,,,6.667,0.745,,,,,vocal,0.775,0.39,hook,bass,drum,bass,drums,1.0,bass,0.8,vocals,4.481,True,True,False,1.0,0.8,0.35,0.6,0.522,3.289,3.465,3.289,4.481,,,,,
segment,Back 2 Back,13.7,150.0,chart_changepoint,0,2,17,,,16,,33,,,,,,,,,,,4.25,0.504,,,,,vocal,,,,,,,drums,0.879,bass,0.788,bass,5.207,,,,0.879,0.788,0.485,0.303,0.167,3.93,5.207,3.431,2.31,,,,,
segment,Back 2 Back,13.7,150.0,chart_changepoint,1,18,37,,,20,,59,,,,,,,,,,,5.85,0.763,,,,,vocal,,,,,,,drums,0.949,bass,0.644,other,3.711,,,,0.949,0.644,0.576,0.186,0.172,3.426,3.127,3.711,1.649,,,,,
