scope,song,level,bpm,kind,seg_index,start_bar,end_bar,function,label_ja,n_bars,notes_total,n_events,align_err_ms,phi_star_ms,offset_delta_ms,spearman_raw,spearman_smooth,spearman_weighted,pearson_smooth,peak_err_bars,boundary_hit_tol1,boundary_hit_tol2,d_bar_mean,I_mean,suggested_notes,floor_fit,mae_notes,bias_notes,plan_primary,plan_secondary,best_stem,best_recall,second_stem,second_recall,best_stem_lift,best_lift,plan_agree,plan_agree_top2,plan_agree_lift,recall_drums,recall_bass,recall_other,recall_vocals,prec_drums,prec_bass,prec_other,prec_vocals,lift_drums,lift_bass,lift_other,lift_vocals,none_share,pool_precision,ending_label,tail_ratio,section_spearman
song,Back 2 Back,13.7,150.0,,,,,,,67,381,190,0.0,7.5,7.73,0.3196,0.2152,0.2143,0.1424,26,0.75,0.75,5.687,,9.15,0.5291,2.067,1.173,,,,,,,,,,,,0.9211,0.6684,0.4632,0.2211,0.3059,0.329,0.3099,0.2029,3.3194,3.3941,3.1081,1.9922,0.0368,0.234,tail_kill,1.0991,0.3571
segment,Back 2 Back,13.7,150.0,audio_segment,0,2,12,intro,イントロ,11,,23,,,,,,,,,,,4.0,0.5944,,,,,vocal,,drums,0.913,bass,0.8261,bass,5.3698,False,False,False,0.913,0.8261,0.3478,0.3913,0.2877,0.3878,0.2051,0.1607,4.1443,5.3698,2.7939,2.2516,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,1,13,20,pre_chorus,Bメロ,8,,19,,,,,,,,,,,5.25,0.3494,,,,,drum,,drums,0.8947,other,0.8421,bass,5.3588,True,True,False,0.8947,0.7895,0.8421,0.0526,0.3091,0.4412,0.3721,0.1429,3.9371,5.3588,4.6131,1.6305,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,2,21,36,chorus,サビ,16,,49,,,,,,,,,,,6.125,0.8381,,,,,vocal,drum,drums,0.9388,bass,0.5918,other,3.5535,False,False,False,0.9388,0.5918,0.5306,0.2041,0.3172,0.271,0.3768,0.1667,3.2583,2.6682,3.5535,1.5557,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,3,37,44,interlude,間奏,8,,26,,,,,,,,,,,6.375,0.4239,,,,,drum,hook,drums,0.9615,bass,0.6154,vocals,8.2244,True,True,False,0.9615,0.6154,0.0769,0.0385,0.3676,0.3721,0.1333,1.0,3.5229,3.3711,1.1329,8.2244,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,4,45,52,verse,Aメロ,8,,23,,,,,,,,,,,5.75,0.7022,,,,,hook,vocal,drums,0.8696,bass,0.6087,bass,3.1382,False,False,False,0.8696,0.6087,0.6087,0.2609,0.2703,0.3043,0.2642,0.2609,2.9667,3.1382,2.767,2.5524,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,5,53,62,final_chorus,ラスサビ,10,,30,,,,,,,,,,,6.0,0.8415,,,,,vocal,drum,drums,0.8,bass,0.5333,other,3.3503,False,False,False,0.8,0.5333,0.4667,0.0667,0.2474,0.254,0.35,0.0556,2.6235,2.5347,3.3503,0.5279,,,,,
segment,Back 2 Back,13.7,150.0,audio_segment,6,63,68,quiet_chorus,落ちサビ,6,,20,,,,,,,,,,,6.667,0.7451,,,,,hook,vocal,drums,1.0,bass,0.8,vocals,4.4811,False,False,False,1.0,0.8,0.35,0.6,0.3448,0.381,0.3889,0.5217,3.2888,3.4651,3.2894,4.4811,,,,,
segment,Back 2 Back,13.7,150.0,chart_changepoint,0,2,17,,,16,,33,,,,,,,,,,,4.25,0.5037,,,,,,,drums,0.8788,bass,0.7879,bass,5.207,,,,0.8788,0.7879,0.4848,0.303,0.2685,0.3714,0.2462,0.1667,3.9297,5.207,3.4312,2.3099,,,,,
segment,Back 2 Back,13.7,150.0,chart_changepoint,1,18,37,,,20,,59,,,,,,,,,,,5.85,0.7626,,,,,,,drums,0.9492,bass,0.6441,other,3.7112,,,,0.9492,0.6441,0.5763,0.1864,0.3237,0.3089,0.3778,0.1719,3.4263,3.1271,3.7112,1.6488,,,,,
