chart,simai_id,title,difficulty,level,level_band,bpm_main,bpm_band,n_bpm,bpm_main_share,bpm_median_time,bpm_band_median,bpm_segments,n_bars,seconds,n_notes,n_slots,nps,notes_per_bar,each_ratio,slide_ratio,hold_ratio,break_ratio,touch_ratio,main_divisor,vocab,vocab_main,div4,div8,div12,div16,div24,div32,config_list,main_config_list
1022-炉心融解-mas,1022,炉心融解,mas,13.2,13.0-13.2,165.0,140-169,1,1.0,165.0,140-169,165@93.1s,62,90.18,416,269,4.613,6.71,0.625,0.1803,0.1058,0.0457,0.0,8.0,15,3,0.1707,0.7452,0.0096,0.0168,0.0,0.0,子弹:0.15/5; 连续双押:0.11/4; 出张:0.11/6; 错位:0.08/5; 一笔画:0.06/3; 反手:0.05/2; 同起点拍滑:0.05/1; 二连扫:0.03/1; CYCLES型星星:0.03/2; 连续拍滑:0.03/2; 挥手段:0.03/2; 三叉戟:0.03/2; 跳拍:0.03/2; 井字星星:0.02/1; 拆弹:0.02/1,出张; 子弹; 连续双押
103-ウサテイ-mas,103,ウサテイ,mas,14.0,13.9-14.1,190.0,170-199,1,1.0,190.0,170-199,190@106.1s,81,102.32,646,545,6.314,7.975,0.3127,0.1006,0.0248,0.0248,0.0,16.0,13,5,0.0666,0.4598,0.0,0.4706,0.0,0.0,子弹:0.43/20; 二连扫:0.15/3; 出张:0.15/8; 跳拍:0.12/10; 单双/双单:0.11/1; 一笔画:0.07/6; 绕圈星星:0.07/6; 井字星星:0.07/6; 连续拍滑:0.07/3; 反手:0.06/3; 纵连:0.05/3; 大宇宙:0.05/1; 夹键拍滑:0.05/1,二连扫; 出张; 单双/双单; 子弹; 跳拍
104-炭★坑★節-mas,104,炭★坑★節,mas,13.3,13.3-13.5,112.0,<140,1,1.0,112.0,<140,112@98.6s,45,96.43,356,286,3.692,7.911,0.3596,0.0618,0.0365,0.0169,0.0,24.0,8,4,0.0871,0.2331,0.0,0.0646,0.6124,0.0,跳拍:0.31/6; 子弹:0.29/5; 出张:0.13/5; 侧边双押:0.11/4; 错位:0.07/1; 纵连:0.04/1; 普通交互:0.04/1; 井字星星:0.02/1,侧边双押; 出张; 子弹; 跳拍
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,1047,人里に下ったアタイがいつの間にか社畜になっていた件,mas,14.0,13.9-14.1,180.0,170-199,1,1.0,180.0,170-199,180@133.0s,96,128.0,913,641,7.133,9.51,0.5465,0.103,0.0832,0.0832,0.0,8.0,23,5,0.1698,0.4984,0.1019,0.1522,0.0,0.035,子弹:0.28/15; 连续双押:0.25/16; 出张:0.14/10; 纵连:0.10/3; 单双/双单:0.10/6; 普通交互:0.07/3; N+1:0.06/1; 跳拍:0.06/2; 一笔画:0.04/2; 轴交互:0.04/1; 二连扫:0.03/2; 定拍:0.03/1; 反手:0.03/2; 绕圈星星:0.03/1; 错位:0.02/2; 双押纵:0.02/2; 逆楼梯/方向盘:0.02/1; 大宇宙:0.02/1; 同起点拍滑:0.01/1; CYCLES型星星:0.01/1; 双压连续拍滑:0.01/1; 三角交互:0.01/1; 井字星星:0.01/1,出张; 单双/双单; 子弹; 纵连; 连续双押
1048-初音ミクの消失-mas,1048,初音ミクの消失,mas,13.9,13.9-14.1,240.0,>=200,1,1.0,240.0,>=200,240@136.6s,128,128.0,961,761,7.508,7.508,0.3881,0.1082,0.0354,0.0406,0.0,8.0,20,3,0.2383,0.4797,0.2331,0.0187,0.0062,0.0062,子弹:0.21/11; 反手:0.12/8; 出张:0.12/12; 纵连:0.09/7; 三角交互:0.08/2; 连续双押:0.07/4; 长纵连:0.05/1; 双押纵:0.05/2; 一笔画:0.05/4; 普通交互:0.05/2; 二连扫:0.05/5; 连续拍滑:0.04/3; 单双/双单:0.04/1; 定拍:0.04/1; 绕圈星星:0.03/4; 大宇宙:0.02/1; 夹键拍滑:0.02/1; 井字星星:0.02/2; 散点:0.02/1; 跳拍:0.01/1,出张; 反手; 子弹
105-ソーラン☆節-mas,105,ソーラン☆節,mas,13.4,13.3-13.5,145.0,140-169,1,1.0,145.0,140-169,145@94.3s,54,89.38,414,333,4.632,7.667,0.3188,0.1111,0.0821,0.0483,0.0,16.0,11,7,0.2391,0.2971,0.0,0.4565,0.0,0.0,跳拍:0.26/7; 子弹:0.19/6; 反手:0.19/4; 二连扫:0.17/5; 错位:0.13/6; 出张:0.13/4; 绕圈星星:0.11/3; 纵连:0.09/3; 一笔画:0.07/2; 侧边双押:0.07/3; 连续双押:0.04/1,二连扫; 出张; 反手; 子弹; 绕圈星星; 跳拍; 错位
106-トルコ行進曲 - オワタ＼(^o^)／-mas,106,トルコ行進曲 - オワタ＼(^o^)／,mas,13.8,13.6-13.8,120.0,<140,1,1.0,120.0,<140,120@118.0s,57,114.0,609,540,5.342,10.684,0.2036,0.0279,0.0345,0.0525,0.0,16.0,15,8,0.0131,0.064,0.0,0.8686,0.0,0.0,子弹:0.46/12; 连续双押:0.23/5; 反手:0.23/2; 跳拍:0.19/6; 三角交互:0.18/8; 二连扫:0.12/4; 轴交互:0.12/2; 侧边双押:0.11/5; 出张:0.05/3; 绕圈星星:0.05/3; 2+1:0.04/1; 一笔画:0.04/2; 普通交互:0.04/2; 大宇宙:0.02/1; 纵连:0.02/1,三角交互; 二连扫; 侧边双押; 反手; 子弹; 跳拍; 轴交互; 连续双押
1069-渦状銀河のシンフォニエッタ-mas,1069,渦状銀河のシンフォニエッタ,mas,14.3,14.2-14.5,238.0,>=200,1,1.0,238.0,>=200,238@151.8s,136,137.14,931,606,6.789,6.846,0.6316,0.1708,0.0763,0.0226,0.0,4.0,18,3,0.4178,0.2965,0.0129,0.1837,0.0,0.0,子弹:0.16/7; 出张:0.14/12; 连续双押:0.11/5; 单双/双单:0.09/7; 连续拍滑:0.07/5; 绕圈星星:0.06/3; 跳拍:0.05/6; 轴交互:0.04/4; 普通交互:0.04/4; 3+1:0.04/1; 一笔画:0.04/3; 纵连:0.03/1; 二连扫:0.03/3; 错位:0.02/3; 反手:0.02/2; 定拍:0.01/1; 散点:0.01/1; 同起点拍滑:0.01/1,出张; 子弹; 连续双押
111-Quartet Theme [Reborn]-mas,111,Quartet Theme [Reborn],mas,13.0,13.0-13.2,137.0,<140,1,1.0,137.0,<140,137@126.1s,69,120.88,502,431,4.153,7.275,0.2789,0.0697,0.1912,0.002,0.0,16.0,10,5,0.0,0.0,0.0,0.9821,0.0,0.0159,反手:0.29/10; 子弹:0.20/4; 跳拍:0.20/7; 连续双押:0.14/7; 出张:0.10/7; 纵连:0.09/3; 二连扫:0.09/3; 三角交互:0.04/2; 连续拍滑:0.03/2; 散点:0.01/1,出张; 反手; 子弹; 跳拍; 连续双押
112-Mysterious Destiny-mas,112,Mysterious Destiny,mas,13.3,13.3-13.5,140.0,140-169,1,1.0,140.0,140-169,140@111.4s,64,109.71,372,187,3.391,5.812,0.9946,0.4973,0.0,0.0054,0.0,4.0,10,7,0.6505,0.172,0.0,0.129,0.0,0.0,一笔画:0.48/8; 出张:0.42/10; 绕圈星星:0.30/8; 连续拍滑:0.30/3; 井字星星:0.12/2; 二连扫:0.12/1; 反手:0.11/2; 鼓动段:0.08/1; 轴交互:0.06/1; 错位:0.02/1,一笔画; 二连扫; 井字星星; 出张; 反手; 绕圈星星; 连续拍滑
113-Urban Crusher [Remix]-mas,113,Urban Crusher [Remix],mas,13.4,13.3-13.5,155.0,140-169,1,1.0,155.0,140-169,155@103.7s,65,100.65,476,426,4.729,7.323,0.2101,0.0525,0.0966,0.0189,0.0,8.0,10,4,0.0,0.5672,0.0,0.4307,0.0,0.0,跳拍:0.35/17; 子弹:0.31/9; 出张:0.15/8; 二连扫:0.14/1; 反手:0.09/4; 2+1:0.09/1; 连续双押:0.06/2; 连续拍滑:0.06/2; 错位:0.05/3; 侧边双押:0.02/1,二连扫; 出张; 子弹; 跳拍
