谱,定数,BPM,小节,时刻s,手,落键,任务类型,星星终点,BREAK,同键连续串长,同刻另一手,同刻note数,本手上一落键,本手上一类型,上一落键环距,距上一落键_拍,本手下一落键,另一手被钉,谱内位置五等分
1022-炉心融解-mas,13.2,165,20,29.4545,L,2,tap,,0,1,,1,6,hold,4,2.0,1,,2
1022-炉心融解-mas,13.2,165,24,35.2727,R,7,tap,,0,2,,1,3,hold,4,2.0,8,,2
1022-炉心融解-mas,13.2,165,26,38.7273,R,7,hold,,0,1,,1,2,slide,3,1.5,1,,3
1022-炉心融解-mas,13.2,165,30,44.5455,L,2,hold,,0,1,,1,7,slide,3,1.5,8,,3
1022-炉心融解-mas,13.2,165,46,68.5455,L,2,slide,6,0,1,,1,8,tap,2,2.0,7,hold:2>None,4
1022-炉心融解-mas,13.2,165,54,79.6364,R,6,star,,0,1,L3(slide),2,3,star,3,1.0,4,slide:8>3,5
1022-炉心融解-mas,13.2,165,54,79.6364,L,3,slide,6,0,1,R6(star),2,8,slide,3,1.0,6,,5
103-ウサテイ-mas,14,190,2,3.6316,L,3,slide,8,0,1,,1,1,hold,2,3.0,1,,1
103-ウサテイ-mas,14,190,38,48.6316,L,2,hold,,0,1,,1,4,tap,2,1.0,7,,3
103-ウサテイ-mas,14,190,40,51.1579,R,7,hold,,0,1,,1,5,tap,2,1.0,3,,3
103-ウサテイ-mas,14,190,48,61.2632,L,3,slide,8,0,1,R2(star),2,6,slide,3,1.0,7,slide:2>5,3
103-ウサテイ-mas,14,190,49,62.8421,R,7,tap,,0,1,,1,8,tap,1,0.5,5,slide:4>1,3
103-ウサテイ-mas,14,190,51,65.3684,L,2,tap,,0,1,,1,1,tap,1,0.5,4,slide:5>8,4
103-ウサテイ-mas,14,190,52,66.6316,R,7,tap,,0,1,,1,5,tap,2,1.25,6,,4
103-ウサテイ-mas,14,190,53,67.2632,R,6,star,,0,1,L1(slide),2,7,tap,1,2.0,3,slide:1>6,4
103-ウサテイ-mas,14,190,55,69.7895,L,3,star,,0,1,R8(slide),2,1,tap,2,2.0,6,slide:8>3,4
103-ウサテイ-mas,14,190,56,71.6842,R,7,tap,,1,1,,1,5,tap,2,1.25,2,,4
103-ウサテイ-mas,14,190,57,72.8684,R,6,tap,,0,1,,1,5,tap,1,0.75,8,,4
103-ウサテイ-mas,14,190,58,73.8158,L,3,tap,,0,1,,1,1,tap,2,1.25,7,,4
103-ウサテイ-mas,14,190,59,75.3947,L,3,tap,,0,1,,1,4,tap,1,0.75,1,,4
103-ウサテイ-mas,14,190,60,76.3421,R,6,tap,,0,1,,1,8,tap,2,1.25,8,,4
