scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,cooccur_top3
config,大风车,0.50455,0.20066,0.80844,29,0.00088,0.80844,0.75763,0.85926,29,0.59486,0.52274,0.66699,29,9.58621,8.50076,10.67165,29,5.65517,4.89997,6.41038,29,4.45474,3.75737,5.15211,29,5.62989,4.53538,6.72439,29,0.84236,0.68421,1.00052,29,0.77223,0.69805,0.84641,29,0.3501,0.31273,0.38747,29,0.02466,-0.00198,0.0513,29,0.10952,0.03217,0.18688,29,0.96552,0.89793,1.0331,29,7.03448,6.03072,8.03825,29,13.72759,13.52103,13.93414,29,185.51724,174.12647,196.90802,29,0.4069,0.45517,0.13793,0.0,0.0,0.0,0.41379,0.10345,0.37931,0.10345,0.06897,0.34483,0.58621,连续拍滑:0.93; 夹键拍滑:0.45; 二连扫:0.38
config,错位,0.48118,0.21729,0.74508,2076,0.06322,0.74508,0.73738,0.75277,2076,0.85936,0.85426,0.86445,2076,11.71917,11.55545,11.88289,2076,7.36031,7.22557,7.49505,2076,4.82384,4.74081,4.90687,2076,11.84142,10.0066,13.67624,2076,1.53683,1.51539,1.55827,2076,0.63604,0.62554,0.64654,2076,0.19731,0.1931,0.20152,2076,0.01711,0.01451,0.01971,2076,0.03746,0.03295,0.04196,2076,0.57659,0.55533,0.59785,2076,19.07755,15.98992,22.16518,2076,13.78208,13.76478,13.79938,2076,161.40806,160.00165,162.81448,2076,0.04996,0.54746,0.01622,0.33014,0.0221,0.01508,0.30347,0.37283,0.26204,0.06166,0.31936,0.31599,0.36464,连续双押:0.41; 子弹:0.33; 跳拍:0.28
config,逆楼梯/方向盘,0.4721,0.4086,0.5356,82,0.0025,0.5356,0.49785,0.57334,82,0.71713,0.69025,0.74401,82,13.82927,12.84835,14.81019,82,12.85366,11.96668,13.74064,82,9.07091,8.36031,9.78152,82,15.71205,6.1063,25.31781,82,3.22948,3.12559,3.33336,82,0.12157,0.07798,0.16516,82,0.02355,0.01198,0.03512,82,0.11758,0.05647,0.17869,82,0.04013,0.01911,0.06115,82,0.09756,0.03294,0.16218,82,23.13415,8.13735,38.13094,82,13.90732,13.81041,14.00422,82,168.8122,163.09159,174.5328,82,0.0613,0.13066,0.02439,0.73422,0.0,0.04436,0.21951,0.28049,0.36585,0.13415,0.20732,0.30488,0.4878,连续双押:0.41; 三角交互:0.26; 轴交互:0.22
config,拆弹,0.47026,0.16603,0.77449,131,0.00399,0.77449,0.74548,0.80349,131,0.74821,0.71559,0.78084,131,12.80153,11.94677,13.65629,131,6.01527,5.4881,6.54243,131,3.68585,3.38266,3.98903,131,9.18531,7.91362,10.45699,131,2.02378,1.88302,2.16454,131,0.89573,0.8663,0.92517,131,0.38327,0.36538,0.40117,131,0.00583,0.00145,0.01022,131,0.02399,0.00781,0.04016,131,0.45802,0.37237,0.54366,131,14.39695,12.34544,16.44846,131,13.90534,13.84507,13.96562,131,154.29262,147.10599,161.47925,131,0.02996,0.56252,0.03906,0.17225,0.15405,0.00352,0.17557,0.31298,0.47328,0.03817,0.49618,0.25191,0.25191,一笔画:0.64; 连续双押:0.63; 错位:0.40
config,鼓动段,0.46674,0.18098,0.7525,772,0.02351,0.7525,0.74104,0.76395,772,0.61982,0.6067,0.63294,772,10.37824,10.14518,10.6113,772,5.73187,5.55601,5.90772,772,4.01772,3.88868,4.14675,772,5.18046,4.97803,5.38289,772,1.58435,1.52748,1.64122,772,0.81586,0.80181,0.8299,772,0.33721,0.32812,0.34629,772,0.00822,0.00414,0.01229,772,0.04437,0.03572,0.05302,772,0.70337,0.67113,0.73561,772,7.36528,7.08779,7.64278,772,13.6715,13.64358,13.69943,772,171.7626,168.86156,174.66363,772,0.44518,0.41505,0.07315,0.05596,0.00434,0.00097,0.43653,0.32383,0.19819,0.04145,0.31736,0.18523,0.49741,连续拍滑:1.00; 井字星星:0.33; 夹键拍滑:0.25
config,挥手段,0.46131,0.17695,0.74566,345,0.01051,0.74566,0.72719,0.76414,345,0.64069,0.61952,0.66185,345,11.50435,11.09748,11.91122,345,6.13333,5.84068,6.42599,345,3.92833,3.74081,4.11586,345,5.8569,5.53278,6.18101,345,1.71297,1.61819,1.80774,345,0.79024,0.76774,0.81274,345,0.32416,0.30989,0.33842,345,0.01099,0.00561,0.01637,345,0.03272,0.02384,0.0416,345,0.85217,0.81467,0.88968,345,9.21449,8.69404,9.73495,345,13.83971,13.79661,13.88281,345,157.74106,153.84328,161.63885,345,0.33496,0.35706,0.06158,0.22418,0.00598,0.0,0.26667,0.31884,0.38551,0.02899,0.35362,0.34493,0.30145,三叉戟:0.90; 连续拍滑:0.40; 子弹:0.26
config,井字星星,0.4588,0.1772,0.7404,890,0.0271,0.7404,0.72903,0.75177,890,0.60835,0.59545,0.62125,890,9.63258,9.42981,9.83536,890,5.36517,5.21187,5.51847,890,3.93385,3.82773,4.03997,890,7.51125,5.59413,9.42836,890,1.78531,1.73526,1.83535,890,0.79692,0.78342,0.81042,890,0.32649,0.3185,0.33448,890,0.01345,0.00971,0.0172,890,0.04025,0.0334,0.0471,890,0.6382,0.60661,0.66979,890,10.1191,7.91509,12.32312,890,13.67989,13.65486,13.70492,890,178.93273,176.71599,181.14947,890,0.29234,0.50236,0.03742,0.14399,0.01196,0.00056,0.41348,0.32584,0.23596,0.02472,0.19551,0.26629,0.5382,连续拍滑:0.58; 连续双押:0.27; 跳拍:0.24
config,穿心,0.45527,0.18106,0.72948,177,0.00539,0.72948,0.704,0.75496,177,0.56936,0.54249,0.59623,177,9.59887,9.09872,10.09902,177,5.57627,5.15822,5.99432,177,4.01956,3.74184,4.29728,177,6.98964,6.37211,7.60718,177,1.36348,1.2602,1.46677,177,0.75936,0.72634,0.79238,177,0.30194,0.28418,0.31969,177,0.03021,0.01848,0.04194,177,0.0444,0.02975,0.05906,177,0.77966,0.71843,0.8409,177,9.79096,8.82024,10.76168,177,13.65311,13.59411,13.7121,177,178.0339,172.87866,183.18914,177,0.18647,0.52931,0.03471,0.19354,0.00519,0.00805,0.46893,0.29944,0.19209,0.03955,0.21469,0.27119,0.51412,连续拍滑:0.56; 跳拍:0.27; 连续双押:0.21
config,夹键拍滑,0.45443,0.24921,0.65964,529,0.01611,0.65964,0.64517,0.67412,529,0.52901,0.51336,0.54466,529,10.81096,10.58256,11.03937,529,7.26276,7.07835,7.44717,529,5.53257,5.37758,5.68756,529,7.39864,7.13739,7.65989,529,1.15425,1.11316,1.19535,529,0.63057,0.61731,0.64383,529,0.26179,0.25362,0.26995,529,0.00893,0.00484,0.01303,529,0.03686,0.02716,0.04657,529,0.58034,0.53825,0.62244,529,9.86389,9.46001,10.26778,529,13.75142,13.71522,13.78761,529,184.98874,181.72943,188.24804,529,0.0444,0.71148,0.12035,0.10934,0.00369,0.00347,0.38563,0.27032,0.25898,0.08507,0.19282,0.14745,0.65974,连续拍滑:1.00; 鼓动段:0.38; 井字星星:0.29
config,双压连续拍滑,0.4507,0.15476,0.74664,104,0.00317,0.74664,0.71337,0.7799,104,0.62814,0.58631,0.66998,104,12.60577,11.92223,13.28931,104,4.80769,4.35471,5.26067,104,3.43574,3.10295,3.76853,104,4.7605,4.22304,5.29796,104,1.4577,1.30957,1.60583,104,0.91305,0.88322,0.94288,104,0.35703,0.33409,0.37998,104,0.01358,0.00276,0.02439,104,0.05668,0.03288,0.08048,104,0.73077,0.64511,0.81643,104,6.71154,5.95799,7.46508,104,13.80096,13.72199,13.87993,104,170.98575,165.58341,176.38809,104,0.57909,0.30276,0.00612,0.07969,0.0,0.0,0.33654,0.30769,0.27885,0.07692,0.19231,0.30769,0.5,连续双押:0.40; 一笔画:0.39; CYCLES型星星:0.31
