scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,cooccur_top3
config,大风车,0.50643,0.20066,0.8122,29,0.00088,0.8122,0.76067,0.86372,29,0.59923,0.53101,0.66745,29,9.58621,8.50076,10.67165,29,5.65517,4.89997,6.41038,29,4.45474,3.75737,5.15211,29,5.62989,4.53538,6.72439,29,0.84236,0.68421,1.00052,29,0.77223,0.69805,0.84641,29,0.3501,0.31273,0.38747,29,0.02466,-0.00198,0.0513,29,0.10952,0.03217,0.18688,29,0.96552,0.89793,1.0331,29,7.03448,6.03072,8.03825,29,13.72759,13.52103,13.93414,29,185.51724,174.12647,196.90802,29,0.4069,0.45517,0.13793,0.0,0.0,0.0,0.41379,0.10345,0.37931,0.10345,0.06897,0.34483,0.58621,出张:0.62; 连续拍滑:0.45; 二连扫:0.38
config,散点,0.4912,0.47277,0.50964,259,0.00789,0.50964,0.48431,0.53496,259,0.683,0.66598,0.70001,259,15.46332,14.7007,16.22594,259,14.33977,13.56319,15.11635,259,10.49554,9.94237,11.04872,259,17.47757,12.49244,22.46271,259,1.4874,1.42404,1.55076,259,0.14191,0.11564,0.16818,259,0.02084,0.0141,0.02757,259,0.00504,0.00244,0.00764,259,0.04582,0.03333,0.05831,259,0.13514,0.09342,0.17685,259,24.6834,16.89971,32.46708,259,13.91236,13.86483,13.95988,259,179.31876,175.47984,183.15769,259,0.03803,0.16493,0.07327,0.47032,0.05458,0.1827,0.22008,0.26255,0.45946,0.05792,0.16602,0.33591,0.49807,二连扫:0.49; 反手:0.46; 子弹:0.37
config,错位,0.48284,0.20665,0.75903,2082,0.0634,0.75903,0.75157,0.76649,2082,0.86668,0.86184,0.87153,2082,11.5658,11.40094,11.73066,2082,6.97598,6.83344,7.11852,2082,4.58765,4.50238,4.67293,2082,9.73261,8.35926,11.10596,2082,1.53074,1.5074,1.55408,2082,0.67878,0.6684,0.68916,2082,0.21029,0.20571,0.21487,2082,0.0182,0.01544,0.02097,2082,0.04439,0.03934,0.04944,2082,0.57445,0.5532,0.59569,2082,14.83814,12.87822,16.79805,2082,13.74938,13.73241,13.76634,2082,162.89386,161.45705,164.33068,2082,0.08523,0.50793,0.01533,0.32282,0.02114,0.01426,0.32133,0.38521,0.24304,0.05043,0.31844,0.31364,0.36792,出张:0.52; 连续双押:0.44; 子弹:0.34
config,逆楼梯/方向盘,0.47996,0.4161,0.54383,75,0.00228,0.54383,0.5056,0.58205,75,0.70995,0.68305,0.73684,75,14.21333,13.22521,15.20145,75,13.16,12.27089,14.04911,75,9.23731,8.51244,9.96219,75,16.37051,5.87713,26.86389,75,3.1848,3.07708,3.29252,75,0.12625,0.08029,0.17221,75,0.02242,0.01136,0.03348,75,0.12522,0.05891,0.19153,75,0.04388,0.02107,0.06669,75,0.10667,0.03633,0.177,75,24.22667,7.84517,40.60817,75,13.93733,13.83682,14.03785,75,167.75467,161.56769,173.94164,75,0.06702,0.08952,0.02667,0.76274,0.0,0.0485,0.18667,0.28,0.38667,0.14667,0.22667,0.30667,0.46667,连续双押:0.44; 反手:0.44; 三角交互:0.28
config,鼓动段,0.47282,0.18511,0.76053,613,0.01867,0.76053,0.74753,0.77354,613,0.63168,0.61653,0.64683,613,10.66232,10.40009,10.92454,613,5.88744,5.68512,6.08975,613,4.10945,3.95855,4.26035,613,5.22924,4.99973,5.45875,613,1.59236,1.53111,1.65361,613,0.80949,0.79335,0.82563,613,0.32934,0.3192,0.33948,613,0.00665,0.00256,0.01075,613,0.03687,0.02831,0.04543,613,0.71941,0.68382,0.75501,613,7.49103,7.16118,7.82088,613,13.68352,13.65248,13.71457,613,170.10885,166.81893,173.39877,613,0.41983,0.45156,0.06497,0.05667,0.00458,0.00122,0.43393,0.33442,0.17945,0.0522,0.32953,0.20881,0.46166,连续拍滑:1.00; 出张:0.40; 井字星星:0.34
config,挥手段,0.46912,0.18518,0.75305,342,0.01041,0.75305,0.73504,0.77107,342,0.6628,0.64187,0.68373,342,11.87427,11.45488,12.29366,342,6.34503,6.05764,6.63242,342,4.11108,3.92631,4.29586,342,8.66221,4.93023,12.39419,342,1.80481,1.70941,1.9002,342,0.78699,0.76507,0.80891,342,0.30278,0.28853,0.31704,342,0.01234,0.00641,0.01827,342,0.03931,0.02896,0.04966,342,0.86257,0.82603,0.89912,342,14.12281,7.48123,20.76438,342,13.84883,13.80931,13.88835,342,158.76901,155.01419,162.52382,342,0.29981,0.41559,0.04185,0.22732,0.00803,0.0,0.22515,0.39474,0.35673,0.02339,0.32164,0.36842,0.30994,三叉戟:0.88; 出张:0.32; 连续拍滑:0.31
config,拆弹,0.46359,0.16603,0.76115,131,0.00399,0.76115,0.73157,0.79074,131,0.74389,0.71132,0.77645,131,12.80153,11.94677,13.65629,131,6.01527,5.4881,6.54243,131,3.68585,3.38266,3.98903,131,9.18531,7.91362,10.45699,131,2.02378,1.88302,2.16454,131,0.89573,0.8663,0.92517,131,0.38327,0.36538,0.40117,131,0.00583,0.00145,0.01022,131,0.02399,0.00781,0.04016,131,0.45802,0.37237,0.54366,131,14.39695,12.34544,16.44846,131,13.90534,13.84507,13.96562,131,154.29262,147.10599,161.47925,131,0.02996,0.56252,0.03906,0.17225,0.15405,0.00352,0.17557,0.31298,0.47328,0.03817,0.49618,0.25191,0.25191,一笔画:0.64; 连续双押:0.63; 错位:0.42
config,夹键拍滑,0.45921,0.25463,0.66378,457,0.01392,0.66378,0.64778,0.67978,457,0.52327,0.50673,0.53981,457,10.97155,10.72638,11.21672,457,7.37856,7.17528,7.58183,457,5.65282,5.48542,5.82023,457,7.54569,7.25348,7.8379,457,1.18418,1.14211,1.22625,457,0.6262,0.61127,0.64112,457,0.26119,0.25228,0.27009,457,0.00735,0.00326,0.01145,457,0.03697,0.0263,0.04764,457,0.57112,0.52569,0.61654,457,9.99781,9.54243,10.45319,457,13.78446,13.74588,13.82304,457,186.36648,182.84577,189.88719,457,0.04775,0.70163,0.12545,0.11065,0.00427,0.00402,0.34573,0.27352,0.28665,0.09409,0.186,0.13567,0.67834,连续拍滑:1.00; 鼓动段:0.36; 井字星星:0.32
config,井字星星,0.45649,0.17748,0.7355,851,0.02591,0.7355,0.72376,0.74724,851,0.60458,0.59111,0.61805,851,9.75558,9.53484,9.97633,851,5.40306,5.24288,5.56323,851,3.93999,3.83001,4.04997,851,7.45818,5.45399,9.46237,851,1.78607,1.73443,1.83771,851,0.79667,0.78284,0.8105,851,0.32487,0.31664,0.33309,851,0.0132,0.00953,0.01686,851,0.03806,0.03135,0.04478,851,0.6322,0.59978,0.66461,851,10.08931,7.78536,12.39326,851,13.67133,13.64587,13.69679,851,178.29745,176.0114,180.58349,851,0.29492,0.51224,0.03544,0.13265,0.01228,0.00059,0.41833,0.33137,0.22444,0.02585,0.20094,0.27497,0.52409,连续拍滑:0.55; 出张:0.43; 连续双押:0.29
config,穿心,0.45448,0.18106,0.72789,177,0.00539,0.72789,0.7022,0.75358,177,0.57596,0.54859,0.60333,177,9.59887,9.09872,10.09902,177,5.57627,5.15822,5.99432,177,4.01956,3.74184,4.29728,177,6.98964,6.37211,7.60718,177,1.36348,1.2602,1.46677,177,0.75936,0.72634,0.79238,177,0.30194,0.28418,0.31969,177,0.03021,0.01848,0.04194,177,0.0444,0.02975,0.05906,177,0.77966,0.71843,0.8409,177,9.79096,8.82024,10.76168,177,13.65311,13.59411,13.7121,177,178.0339,172.87866,183.18914,177,0.18647,0.52931,0.03471,0.19354,0.00519,0.00805,0.46893,0.29944,0.19209,0.03955,0.21469,0.27119,0.51412,出张:0.76; 连续拍滑:0.42; 跳拍:0.27
