scope,config,intrinsic_score,term_D,term_H,n_bars,share_of_bars,hardness_noconfig,hardness_noconfig_lo,hardness_noconfig_hi,hardness_noconfig_n,hardness,hardness_lo,hardness_hi,hardness_n,n_notes,n_notes_lo,n_notes_hi,n_notes_n,n_slots,n_slots_lo,n_slots_hi,n_slots_n,nps,nps_lo,nps_hi,nps_n,equiv_speed,equiv_speed_lo,equiv_speed_hi,equiv_speed_n,move_mean,move_mean_lo,move_mean_hi,move_mean_n,each_ratio,each_ratio_lo,each_ratio_hi,each_ratio_n,slide_ratio,slide_ratio_lo,slide_ratio_hi,slide_ratio_n,hold_ratio,hold_ratio_lo,hold_ratio_hi,hold_ratio_n,break_ratio,break_ratio_lo,break_ratio_hi,break_ratio_n,muri_rate,muri_rate_lo,muri_rate_hi,muri_rate_n,finest_divisor,finest_divisor_lo,finest_divisor_hi,finest_divisor_n,level,level_lo,level_hi,level_n,bpm,bpm_lo,bpm_hi,bpm_n,div4,div8,div12,div16,div24,div32,lv_13.0-13.4,lv_13.5-13.9,lv_14.0-14.4,lv_14.5+,bpm_<150,bpm_150-180,bpm_>180,place_n_bars,place_I_mean,place_I_median,place_I_q1,place_I_q3,place_lift_I_低,place_lift_I_中,place_lift_I_高,place_pos_mean,place_coverage,place_mode_全采,place_mode_加花,place_mode_半采,place_mode_混合,place_mode_稀采/空音,place_mode_近全采,place_mode_随机半采,place_mode_静默,cooccur_top3,matrix_row,matrix_col,coverage,top_configs,top_common,top_modes
config,错位,0.4667,0.21782,0.71558,6604,0.2011,0.71558,0.71135,0.71982,6604,0.81354,0.81055,0.81652,6604,10.39976,10.31848,10.48104,6604,7.11372,7.04759,7.17985,6604,4.83569,4.79168,4.8797,6604,10.80327,9.9738,11.63274,6604,1.52083,1.50497,1.53669,6604,0.5837,0.5783,0.58911,6604,0.21691,0.21417,0.21966,6604,0.03179,0.02956,0.03402,6604,0.03178,0.02948,0.03407,6604,0.55497,0.54298,0.56695,6604,16.65581,15.27629,18.03534,6604,13.72709,13.71767,13.73651,6604,166.08357,165.29994,166.8672,6604,0.02415,0.54057,0.04537,0.34946,0.0189,0.00957,0.34646,0.3778,0.2341,0.04164,0.25833,0.35736,0.38431,2517,0.78755,0.82798,0.72067,0.90071,0.69482,1.07382,1.23141,0.56897,0.7368,0.39928,0.04529,0.15336,0.04529,0.03337,0.2209,0.10012,0.00238,子弹:0.38; 连续双押:0.37; 跳拍:0.32,,,,,,
config,逆楼梯/方向盘,0.45755,0.37099,0.54412,161,0.0049,0.54412,0.51609,0.57214,161,0.70541,0.68483,0.72599,161,13.13043,12.37465,13.88622,161,11.74534,10.98618,12.5045,161,8.23607,7.67497,8.79716,161,15.14537,8.0906,22.20014,161,3.04358,2.94571,3.14144,161,0.22356,0.17979,0.26733,161,0.0683,0.04855,0.08804,161,0.08633,0.04875,0.12392,161,0.03746,0.02319,0.05172,161,0.10559,0.05797,0.15321,161,22.29814,11.50161,33.09467,161,13.87702,13.8101,13.94393,161,169.97888,165.44883,174.50893,161,0.1217,0.19412,0.01242,0.62231,0.00464,0.03896,0.2236,0.31056,0.35404,0.1118,0.19876,0.32919,0.47205,64,0.78901,0.84045,0.65785,0.90225,0.84369,0.74994,1.40646,0.58426,0.8269,0.53125,0.09375,0.07812,0.125,0.01562,0.125,0.03125,,普通交互:0.88; 大宇宙:0.44; 连续双押:0.39,,,,,,
config,大宇宙,0.43626,0.39768,0.47485,579,0.01763,0.47485,0.45794,0.49176,579,0.69289,0.68136,0.70441,579,13.49741,13.12496,13.86986,579,12.2418,11.8285,12.65509,579,8.82841,8.54157,9.11525,579,11.49598,10.04064,12.95132,579,2.09658,2.03595,2.15721,579,0.21898,0.19522,0.24275,579,0.07382,0.06255,0.08509,579,0.02304,0.01429,0.03178,579,0.03037,0.02309,0.03765,579,0.1848,0.15316,0.21644,579,16.08463,13.90101,18.26824,579,13.88273,13.85069,13.91477,579,177.47714,174.85315,180.10113,579,0.09534,0.16265,0.02554,0.664,0.00573,0.03434,0.22798,0.31261,0.37824,0.08117,0.15717,0.2677,0.57513,229,0.771,0.81345,0.68553,0.90063,0.86456,0.93006,1.20542,0.57501,0.85288,0.48035,0.1441,0.0786,0.15284,0.0131,0.1048,0.02183,0.00437,普通交互:0.87; 楼梯交互:0.60; 三角交互:0.47,,,,,,
config,双押纵,0.42782,0.16904,0.6866,913,0.0278,0.6866,0.6734,0.6998,913,0.79805,0.78899,0.80712,913,11.93976,11.69938,12.18013,913,5.25958,5.099,5.42017,913,3.75271,3.64447,3.86095,913,7.98449,6.16037,9.80862,913,1.4354,1.3969,1.47391,913,0.90616,0.89612,0.9162,913,0.2225,0.21247,0.23253,913,0.03377,0.02567,0.04187,913,0.08583,0.07495,0.09671,913,0.70208,0.6724,0.73176,913,11.70756,8.64109,14.77403,913,13.73582,13.71148,13.76016,913,173.30605,171.39074,175.22137,913,0.33471,0.44675,0.03281,0.16031,0.00885,0.00193,0.33625,0.38116,0.25301,0.02957,0.20372,0.3012,0.49507,398,0.78567,0.82273,0.72848,0.88747,0.63312,1.25116,1.11574,0.6009,0.67267,0.30151,0.04774,0.22864,0.03769,0.04774,0.23116,0.09296,0.01256,连续双押:1.00; 子弹:0.28; 错位:0.26,,,,,,
config,散点,0.41384,0.38217,0.44551,267,0.00813,0.44551,0.42288,0.46815,267,0.60082,0.583,0.61864,267,12.65918,12.12903,13.18932,267,11.58052,11.06011,12.10094,267,8.48411,8.0861,8.88211,267,11.06432,10.55436,11.57428,267,1.62824,1.56909,1.68738,267,0.15128,0.1237,0.17886,267,0.01976,0.01314,0.02637,267,0.00969,0.00425,0.01514,267,0.0413,0.02854,0.05406,267,0.11985,0.08082,0.15888,267,15.35581,14.55658,16.15503,267,13.87303,13.82467,13.9214,267,178.71955,174.67201,182.76709,267,0.01976,0.26108,0.08493,0.55323,0.04168,0.03739,0.26217,0.26217,0.41948,0.05618,0.1573,0.34831,0.49438,97,0.6997,0.78781,0.58425,0.86714,1.14425,0.83499,1.02077,0.559,0.87518,0.45361,0.15464,0.04124,0.2268,0.02062,0.09278,0.01031,,普通交互:1.00; 子弹:0.51; 连续双押:0.40,,,,,,
config,楼梯交互,0.40652,0.35237,0.46068,859,0.02616,0.46068,0.44727,0.47409,859,0.6199,0.60912,0.63069,859,12.3213,12.03696,12.60565,859,10.8603,10.55344,11.16716,859,7.82252,7.60813,8.0369,859,15.39898,11.18955,19.60841,859,1.9123,1.86569,1.95891,859,0.25943,0.23949,0.27936,859,0.08003,0.07046,0.08961,859,0.0372,0.02752,0.04689,859,0.02938,0.02361,0.03515,859,0.18626,0.16021,0.21231,859,21.10943,15.64828,26.57058,859,13.83469,13.80824,13.86115,859,177.73473,175.35048,180.11897,859,0.11988,0.20771,0.02473,0.60055,0.00798,0.02244,0.26775,0.33062,0.33644,0.06519,0.19441,0.29802,0.50757,375,0.78575,0.79331,0.7046,0.90207,0.83194,0.97593,1.19218,0.58951,0.83132,0.49333,0.10667,0.05867,0.128,0.01867,0.144,0.04,0.01067,普通交互:0.83; 三角交互:0.46; 大宇宙:0.38,,,,,,
config,定拍,0.39364,0.21431,0.57296,490,0.01492,0.57296,0.55038,0.59553,490,0.67634,0.65674,0.69593,490,11.70612,11.35569,12.05656,490,6.82857,6.56934,7.08781,490,4.75778,4.56449,4.95108,490,6.97291,6.60586,7.33996,490,1.41751,1.3586,1.47643,490,0.69256,0.66772,0.7174,490,0.14095,0.12781,0.15409,490,0.05659,0.04215,0.07102,490,0.04295,0.03302,0.05289,490,0.48571,0.44142,0.53001,490,10.2551,9.63328,10.87692,490,13.7702,13.73504,13.80537,490,170.04587,167.14987,172.94186,490,0.26917,0.49035,0.00786,0.18658,0.02275,0.01706,0.30408,0.32041,0.34694,0.02857,0.28367,0.1898,0.52653,202,0.80339,0.81342,0.73231,0.9007,0.62372,1.15833,1.218,0.49697,0.69121,0.30198,0.05941,0.27228,0.0396,0.0198,0.23267,0.06931,0.00495,连续双押:0.61; 单双/双单:0.44; 错位:0.41,,,,,,
config,三角交互,0.39078,0.37473,0.40683,874,0.02661,0.40683,0.39564,0.41802,874,0.56697,0.55727,0.57666,874,12.44508,12.18143,12.70873,874,11.67506,11.41572,11.93439,874,8.31896,8.14007,8.49785,874,23.8132,16.94082,30.68559,874,1.94321,1.91199,1.97443,874,0.11508,0.10351,0.12665,874,0.01323,0.01024,0.01621,874,0.06382,0.05198,0.07566,874,0.02959,0.02447,0.03471,874,0.06751,0.05086,0.08415,874,30.81922,22.64661,38.99184,874,13.85286,13.82618,13.87954,874,175.44055,173.26288,177.61823,874,0.04294,0.19326,0.11641,0.59337,0.0181,0.01511,0.254,0.35355,0.30092,0.09153,0.19108,0.31693,0.49199,339,0.77471,0.81733,0.69708,0.89689,0.84065,0.95568,1.20372,0.58604,0.87863,0.53392,0.13274,0.02065,0.16814,,0.12979,0.0118,0.00295,普通交互:0.99; 楼梯交互:0.44; 子弹:0.34,,,,,,
config,轴交互,0.38853,0.30308,0.47398,637,0.0194,0.47398,0.45564,0.49232,637,0.59007,0.57471,0.60543,637,10.66562,10.39436,10.93688,637,9.24647,8.94645,9.54648,637,6.7284,6.52693,6.92987,637,8.59384,8.28181,8.90587,637,1.90971,1.85327,1.96614,637,0.28481,0.26044,0.30918,637,0.10664,0.09452,0.11877,637,0.05398,0.04294,0.06502,637,0.02553,0.01899,0.03208,637,0.25275,0.21897,0.28652,637,11.93093,11.4378,12.42405,637,13.83689,13.80734,13.86644,637,180.09055,177.12695,183.05415,637,0.12513,0.41615,0.01799,0.42281,0.00549,0.00611,0.25746,0.35165,0.32182,0.06907,0.16954,0.33438,0.49608,216,0.78461,0.82337,0.71524,0.89537,0.72217,1.0277,1.25018,0.54824,0.79503,0.44907,0.09259,0.09259,0.10185,0.02778,0.18519,0.0463,0.00463,普通交互:0.70; 错位:0.33; 跳拍:0.25,,,,,,
config,连续双押,0.38565,0.19161,0.57969,8042,0.24488,0.57969,0.57512,0.58426,8042,0.69757,0.69418,0.70096,8042,10.91868,10.84282,10.99453,8042,5.96431,5.90517,6.02346,8042,4.25381,4.21351,4.29412,8042,9.90592,9.17099,10.64086,8042,1.69616,1.68446,1.70786,8042,0.81416,0.8095,0.81882,8042,0.11894,0.11603,0.12185,8042,0.04904,0.04592,0.05217,8042,0.07034,0.0668,0.07387,8042,0.38747,0.37682,0.39811,8042,14.74173,13.51562,15.96784,8042,13.6865,13.67802,13.69498,8042,174.40559,173.74603,175.06516,8042,0.19777,0.46007,0.02054,0.2768,0.01247,0.00661,0.39082,0.36658,0.20778,0.03482,0.18167,0.35228,0.46605,3334,0.77862,0.81805,0.70915,0.89318,0.76569,1.0986,1.13574,0.54614,0.7096,0.37043,0.04379,0.17337,0.03929,0.04499,0.23635,0.08098,0.0108,子弹:0.37; 错位:0.31; 跳拍:0.25,,,,,,
