alt_rate,chuzhang,chuzhang_end_side,chuzhang_end_side_per_slide,chuzhang_per_1k,chuzhang_per_slide,chuzhang_slide,cross_rate,hand_hardness,internal_level,max_same_run,max_speed,muri_Hold尾多押,muri_占用冲突,muri_外键,muri_多押,muri_撞尾,muri_硬,muri_绝对,muri_超速,muri_软,n_bars,n_infeasible,n_muri,n_tasks,name,scrape_per_1k,scrape_pressure,scrape_外键,scrape_换手拧巴,scrape_撞尾,scrape_路径蹭键,total_cost
0.7168,7,45,0.6338,18.717,0.2535,18,0.2353,0.12583,13.2,7,16.5,,,,,,0,0,,0,62,0,0,374,1022-炉心融解-mas,2.674,1,1,,,,47.06
0.7218,33,35,0.5385,51.084,0.3077,20,0.3653,0.09858,14,5,25.333,,,,,,0,0,,0,81,0,0,646,103-ウサテイ-mas,0.0,0,,,,,63.685
0.7537,9,11,0.5,25.281,0.0,0,0.2949,0.09046,13.3,5,14.933,,,,,,0,0,,0,45,0,0,356,104-炭★坑★節-mas,0.0,0,,,,,32.205
0.7405,10,61,0.663,11.601,0.413,38,0.1949,0.09835,14,7,26.643,2,,,,,2,0,,0,96,0,2,862,1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,2.32,2,,,2,,84.78
0.8199,32,57,0.5481,34.707,0.1154,12,0.1898,0.09498,13.9,7,32.0,2,,,,,2,0,,0,128,0,2,922,1048-初音ミクの消失-mas,0.0,0,,,,,87.576
0.7635,22,24,0.5217,53.14,0.5217,24,0.4034,0.14973,13.4,8,29.0,,,,,,0,0,,0,54,0,0,414,105-ソーラン☆節-mas,0.0,0,,,,,61.989
0.7692,9,8,0.4706,14.778,0.2353,4,0.289,0.08555,13.8,5,16.0,,,,,,0,0,,0,57,0,0,609,106-トルコ行進曲 - オワタ＼(^o^)／-mas,0.0,0,,,,,52.1
0.7973,15,89,0.5779,17.401,0.1948,30,0.1717,0.12329,14.3,8,31.733,,,,,,0,0,,0,136,0,0,862,1069-渦状銀河のシンフォニエッタ-mas,0.0,0,,,,,106.276
0.7675,28,5,0.1429,56.452,0.0286,1,0.4456,0.12026,13,5,18.267,,,,,,0,0,,0,69,0,0,496,111-Quartet Theme [Reborn]-mas,0.0,0,,,,,59.648
0.7982,26,104,0.5622,71.823,0.4162,77,0.3674,0.17608,13.3,4,18.667,,,3,,,3,0,,0,64,0,3,362,112-Mysterious Destiny-mas,0.0,0,,,,,63.74
0.5949,28,11,0.44,58.824,0.36,9,0.3508,0.15456,13.4,5,20.667,1,1,,,,1,1,,0,65,1,2,476,113-Urban Crusher [Remix]-mas,0.0,0,,,,,73.57
0.7272,3,52,0.5417,5.566,0.25,24,0.2022,0.0784,14.2,8,22.667,,,,,,0,0,,0,33,0,0,539,1139-AFTER PANDORA-mas,0.0,0,,,,,42.255
0.7278,12,83,0.6535,17.964,0.378,48,0.1961,0.17713,14.2,6,37.333,,,,,,0,0,,0,56,0,0,668,115-Beat Of Mind-remas,0.0,0,,,,,118.325
