name,simai_id,difficulty,internal_level,bpm,gt_notes,n_tasks,n_bars,total_cost,hand_hardness,alt_rate,max_same_run,cross_rate,chuzhang,chuzhang_per_slide,max_speed,scrape_pressure,scrape_per_1k,n_infeasible,n_muri,muri_绝对,muri_硬,muri_软,muri_Hold尾多押,muri_占用冲突,muri_外键,muri_多押,muri_撞尾,muri_超速,scrape_外键,scrape_换手拧巴,scrape_撞尾,scrape_路径蹭键
1022-炉心融解-mas,1022,mas,13.2,165,416,374,62,80.86,0.2162,0.7638,7,0.1952,33,0.4648,22.0,1,2.674,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103-ウサテイ-mas,103,mas,14,190,646,646,81,127.38,0.19718,0.6695,6,0.2368,24,0.3692,25.333,2,3.096,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
104-炭★坑★節-mas,104,mas,13.3,112,356,356,45,58.74,0.165,0.7414,5,0.2051,5,0.2273,14.933,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1047-人里に下ったアタイがいつの間にか社畜になっていた件-mas,1047,mas,14,180,913,862,96,149.928,0.17393,0.7039,7,0.1531,45,0.4891,26.643,2,2.32,0,2,0,2,0,2,0,0,0,0,0,0,0,2,0
1048-初音ミクの消失-mas,1048,mas,13.9,240,961,922,128,150.247,0.16296,0.796,7,0.1443,47,0.4519,96.0,0,0.0,0,4,0,4,0,2,0,0,0,0,2,0,0,0,0
105-ソーラン☆節-mas,105,mas,13.4,145,414,414,54,91.715,0.22153,0.7127,7,0.2271,17,0.3696,19.333,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106-トルコ行進曲 - オワタ＼(^o^)／-mas,106,mas,13.8,120,609,609,57,93.381,0.15334,0.674,7,0.1478,6,0.3529,16.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069-渦状銀河のシンフォニエッタ-mas,1069,mas,14.3,238,931,862,136,172.409,0.20001,0.7896,8,0.1288,80,0.5195,31.733,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111-Quartet Theme [Reborn]-mas,111,mas,13,137,502,496,69,106.08,0.21387,0.7862,4,0.3286,2,0.0571,18.267,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112-Mysterious Destiny-mas,112,mas,13.3,140,372,362,64,103.43,0.28572,0.8388,4,0.3702,81,0.4378,18.667,0,0.0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0
113-Urban Crusher [Remix]-mas,113,mas,13.4,155,476,476,65,109.79,0.23065,0.5837,9,0.2353,3,0.12,20.667,0,0.0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0
