scope,song,genre,level,bpm,n_bars,coverage_mean,extra_ratio_mean,physical_hardness_mean,hand_difficulty_mean,intensity_mean,mode_全采,mode_半采,mode_稀采/空音,mode_加花,mode_静默,mode_混合,cfg_2+1,cfg_3+1,cfg_CYCLES型星星,cfg_N+1,cfg_一笔画,cfg_三叉戟,cfg_三角交互,cfg_二连扫,cfg_井字星星,cfg_侧边双押,cfg_出张,cfg_单双/双单,cfg_双压连续拍滑,cfg_双押纵,cfg_反手,cfg_同起点拍滑,cfg_大宇宙,cfg_大风车,cfg_夹键拍滑,cfg_如龙段,cfg_子弹,cfg_定拍,cfg_拆弹,cfg_挥手段,cfg_散点,cfg_普通交互,cfg_楼梯交互,cfg_死镰段,cfg_穿心,cfg_纵连,cfg_绕圈星星,cfg_跳拍,cfg_轴交互,cfg_连续双押,cfg_连续拍滑,cfg_逆楼梯/方向盘,cfg_错位,cfg_长纵连,cfg_鼓动段
song,-OutsideRRequieM-,オンゲキ＆CHUNITHM,13.6,181.0,97,0.6428,0.0852,0.5302,0.3303,0.6823,31,20,8,4,4,3,4,3,0,0,6,2,3,7,0,4,1,5,1,3,3,0,0,0,1,0,35,2,0,0,0,0,0,0,2,7,3,8,4,32,16,0,9,0,2
song,7thSense,maimai,14.4,150.0,79,0.7034,0.2952,0.5837,0.3513,0.5643,25,8,4,21,0,9,0,0,1,0,8,3,3,15,1,0,2,0,0,3,0,0,0,2,0,0,19,0,0,3,3,7,0,0,0,2,5,11,7,32,2,0,6,0,0
song,ARROW,niconico＆ボーカロイド,13.3,131.0,68,0.6561,0.1341,0.4862,0.2691,0.8319,19,14,6,4,1,2,0,0,0,0,6,4,0,0,0,0,0,16,0,0,1,0,0,0,0,0,9,0,1,0,0,1,0,0,2,0,3,9,0,19,2,0,4,0,0
song,Acceleration,maimai,13.4,180.0,60,0.7793,0.1027,0.5729,0.3631,0.6427,28,5,0,5,5,4,0,0,0,0,0,0,0,25,0,9,0,12,0,0,0,0,2,0,0,0,2,0,0,0,13,2,0,0,0,0,0,1,0,7,0,0,3,0,0
song,Aiolos,maimai,14.3,205.0,107,0.8129,0.1584,0.5551,0.2521,0.6653,59,7,2,6,6,10,0,0,0,0,0,0,3,12,5,0,0,6,0,0,2,0,0,0,0,0,2,0,0,0,9,10,2,0,0,8,0,11,5,38,4,1,1,4,0
song,Axeria,maimai,14.5,193.0,87,0.8111,0.1288,0.4029,0.1067,0.6925,41,9,0,3,3,13,0,0,0,0,3,0,2,11,7,0,0,2,0,0,1,0,2,0,0,0,1,0,3,0,0,0,2,6,0,0,2,26,11,10,6,0,19,0,0
song,B.M.S.,ゲーム＆バラエティ,14.2,200.0,77,0.7889,0.1766,0.6724,0.3114,0.7883,32,7,2,11,1,8,3,0,0,0,0,0,1,10,0,1,0,27,1,2,0,1,1,0,4,0,11,15,0,0,2,1,1,0,0,4,0,0,10,16,8,0,0,1,0
song,BAD∞END∞NIGHT,niconico＆ボーカロイド,13.5,204.0,80,0.6879,0.0898,0.4131,0.3556,0.8487,28,13,6,3,1,3,7,0,0,0,1,0,1,2,6,3,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,13,0,11,6,0,0,0,4
song,Back 2 Back,ゲーム＆バラエティ,13.7,150.0,66,0.3616,0.0227,0.7417,0.3165,0.6393,0,18,26,0,2,5,0,0,0,0,59,2,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,8,0,11,0,0,0,6
song,Bang Babang Bang!!!,オンゲキ＆CHUNITHM,13.2,200.0,100,0.7306,0.0736,0.5324,0.3309,0.7128,40,8,4,2,7,3,0,0,1,0,7,1,1,0,7,0,6,2,1,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,6,3,0,22,3,1,8,0,0
song,Barbed Eye,maimai,13.0,135.0,79,0.6924,0.1557,0.6517,0.4485,0.7753,25,14,3,7,2,9,2,0,2,0,4,0,2,0,1,0,0,25,0,0,0,0,0,0,0,0,27,0,0,0,2,1,0,0,0,0,0,15,2,37,1,0,3,0,0
song,Believe the Rainbow,maimai,13.4,133.0,70,0.3937,0.0512,0.4727,0.4773,0.6683,3,11,27,5,9,0,0,0,1,0,13,1,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,12,0,0,0,1
song,Black Out,maimai,13.3,142.0,44,0.6776,0.0905,0.4529,0.3648,0.7918,10,3,3,1,0,2,0,0,0,0,7,0,0,0,0,2,1,2,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,7,9,0,5,0,0,0,0,0
song,Brain Power,ゲーム＆バラエティ,13.4,170.0,75,0.7291,0.0565,0.4449,0.1357,0.8205,34,12,4,1,2,0,0,0,1,0,5,0,2,10,0,0,1,2,0,1,0,0,3,0,0,0,3,0,0,0,1,3,1,0,0,10,2,2,3,14,0,0,11,0,0
song,Contrapasso -paradiso-,maimai,14.4,243.0,120,0.7441,0.1066,0.6642,0.4104,0.7162,54,11,0,6,7,8,0,0,0,0,0,8,2,1,4,0,0,16,1,4,0,0,0,0,6,0,30,0,0,7,2,1,2,0,4,12,0,5,0,28,33,0,0,0,16
song,Cosmic Magic Shooter,東方Project,13.9,163.0,72,0.6955,0.036,0.5679,0.4026,0.7656,18,15,4,0,0,2,0,0,3,0,4,1,0,4,1,1,0,5,0,0,0,0,0,0,1,0,12,0,0,0,0,1,0,0,2,0,2,5,0,30,10,0,4,0,0
song,DO RORO DERODERO ON DO RORO,ゲーム＆バラエティ,13.7,190.0,76,0.7274,0.1784,0.5734,0.2459,0.8545,25,4,5,10,3,11,0,0,0,0,2,0,9,8,0,1,3,0,0,0,6,0,5,0,0,0,10,0,0,0,0,0,0,0,0,1,2,29,0,2,0,0,0,0,0
song,DRAGONLADY,ゲーム＆バラエティ,13.9,150.0,53,0.8817,0.072,0.4494,0.512,0.8358,37,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,0,0,22,2,0,0,0,1,1,0,0,7,0,23,4,3,0,0,2,0,0
song,Danza zandA,maimai,13.4,129.0,59,0.6823,0.1293,0.521,0.1145,0.8007,16,14,2,2,2,3,0,0,0,0,2,0,2,2,3,5,1,10,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,11,0,30,0,0,7,0,0
song,Death Scythe,maimai,13.8,182.0,89,0.7985,0.0829,0.464,0.247,0.8114,53,7,1,1,4,3,0,0,0,0,8,0,0,18,2,2,6,4,0,0,1,0,0,0,8,0,3,0,0,0,0,0,0,2,2,0,10,13,0,0,11,0,10,0,0
song,D✪N’T ST✪P R✪CKIN’,maimai,13.8,140.0,72,0.6329,0.1825,0.5818,0.127,0.6894,9,14,6,8,0,4,0,0,0,0,26,3,1,3,0,6,3,4,0,2,0,0,2,0,0,0,8,2,20,0,6,0,2,0,4,0,20,2,0,26,0,2,13,0,0
song,ECHO,niconico＆ボーカロイド,13.5,140.0,74,0.6697,0.1971,0.6344,0.3747,0.7036,19,15,1,6,2,5,0,0,0,0,4,8,0,0,4,4,2,20,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,2,5,5,0,14,16,0,17,0,9
song,Endless World,maimai,13.0,142.0,66,0.4592,0.0961,0.3571,0.4139,0.8347,1,21,14,5,3,3,0,0,0,0,3,4,0,0,0,1,3,6,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,4,4,18,0,1,0,0,1,2,0
song,FEEL ALIVE,maimai,13.7,162.0,53,0.7223,0.1181,0.4292,0.4457,0.7851,18,8,0,1,4,3,0,0,0,0,9,0,0,8,1,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,1,2,0,0,0,7,4,7,6,5,0,0,1,0,0
song,FFT,maimai,14.0,180.0,90,0.6929,0.1947,0.5035,0.0937,0.6877,27,11,3,15,3,3,2,0,5,0,24,8,0,0,1,0,2,7,2,0,4,0,0,0,0,0,8,0,1,1,0,0,0,0,0,4,2,11,0,7,2,0,21,0,0
song,FLOWER,ゲーム＆バラエティ,13.9,173.0,82,0.6917,0.1829,0.6629,0.3151,0.6844,28,8,8,9,2,5,0,0,6,0,9,0,1,2,0,4,7,11,0,0,4,0,0,0,0,0,12,0,0,0,2,1,1,0,0,1,2,33,0,16,0,0,2,0,0
song,FUJIN Rumble,ゲーム＆バラエティ,14.5,192.0,88,0.8595,0.2018,0.5946,0.2401,0.6798,49,5,0,5,3,15,0,0,0,0,0,0,4,17,0,0,0,12,0,0,2,0,4,0,0,0,8,0,0,0,4,8,0,0,0,8,0,29,1,24,0,2,6,0,0
song,GOODMEN,ゲーム＆バラエティ,13.4,175.0,90,0.7826,0.0666,0.4249,0.3522,0.7489,51,15,5,1,0,6,8,0,0,0,3,14,1,0,0,0,2,27,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,4,7,2,12,1,8,12,0,0,1,0
song,Garden Of The Dragon,ゲーム＆バラエティ,13.5,120.0,53,0.6036,0.1702,0.5909,0.4273,0.8119,13,13,4,5,2,2,9,0,4,0,4,0,4,2,0,0,0,4,0,0,0,0,1,0,0,0,6,0,0,0,6,6,5,0,0,0,1,12,0,16,0,0,4,0,0
song,Get Happy,maimai,13.8,150.0,75,0.6903,0.0728,0.3673,0.3625,0.7699,21,18,4,0,1,0,8,0,0,0,5,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,2,24,1,0,8,0,1,0,4
song,Got more raves？,ゲーム＆バラエティ,14.1,266.0,131,0.7348,0.2115,0.4882,0.191,0.7778,44,13,2,9,6,13,0,0,0,0,0,0,6,3,2,1,0,2,0,2,0,0,6,0,6,0,42,0,0,0,0,4,3,0,0,5,0,6,16,20,13,0,0,0,0
song,HERA,maimai,14.3,185.0,102,0.7902,0.0484,0.5123,0.2856,0.7055,54,18,2,1,5,3,2,0,1,0,5,3,11,0,0,0,2,2,7,3,2,0,0,0,0,0,20,0,1,3,0,0,8,0,0,7,2,9,12,25,1,0,1,11,0
song,HIMITSUスパーク,POPS＆アニメ,13.2,156.0,85,0.6975,0.1267,0.5216,0.4358,0.7001,29,15,3,4,2,4,0,0,3,0,14,0,2,2,0,0,1,4,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,0,0,12,9,0,33,2,0,3,0,0
song,Hyper Active,maimai,13.9,160.0,90,0.7498,0.2134,0.6146,0.324,0.7716,38,12,2,10,1,2,0,0,0,0,6,0,0,12,0,2,1,11,0,0,2,0,0,0,2,0,24,0,0,0,3,5,0,0,0,0,0,27,0,11,6,0,5,0,0
song,Imperishable Night 2006 (2016 Refine),東方Project,13.8,161.0,87,0.7612,0.058,0.5313,0.4506,0.6627,45,17,2,1,0,0,0,0,0,0,0,1,15,3,0,0,0,10,0,0,0,0,2,0,0,0,20,0,0,0,1,6,8,0,0,4,0,16,9,12,4,0,11,0,2
song,Infantoon Fantasy,オンゲキ＆CHUNITHM,13.8,185.0,109,0.7109,0.1115,0.5533,0.311,0.6923,45,23,4,4,3,5,3,0,0,0,0,2,1,6,4,0,0,3,0,0,0,0,0,0,2,0,27,0,0,2,0,3,2,0,4,4,0,17,0,31,12,0,4,0,8
song,JACKY [Remix],ゲーム＆バラエティ,13.7,135.0,49,0.5102,0.089,0.4827,0.3089,0.7658,2,21,9,1,0,0,0,0,0,0,1,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,3,0,2
song,Jack-the-Ripper◆,ゲーム＆バラエティ,14.1,210.0,127,0.7565,0.1766,0.4348,0.2568,0.6184,63,14,3,12,2,13,0,0,0,0,17,0,1,8,3,0,3,4,0,0,1,0,0,0,0,0,3,0,0,0,9,8,0,0,0,0,8,12,3,11,0,0,8,0,0
song,Jumble Rumble,maimai,14.0,185.0,96,0.8403,0.0491,0.4767,0.2939,0.7664,69,9,0,0,0,2,0,0,0,0,0,0,1,21,5,0,0,3,0,0,0,0,1,0,2,0,5,0,0,0,5,4,2,0,0,13,2,33,2,37,4,0,6,0,2
song,KISS CANDY FLAVOR,ゲーム＆バラエティ,13.4,146.0,82,0.705,0.0879,0.4167,0.4826,0.5861,23,14,3,2,2,4,0,0,1,0,7,0,3,24,3,0,2,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0,0,0,0,3,17,2,18,7,0,1,0,0
