scope,song,genre,level,bpm,n_bars,coverage_mean,extra_ratio_mean,physical_hardness_mean,hand_difficulty_mean,intensity_mean,mode_全采,mode_半采,mode_稀采/空音,mode_加花,mode_静默,mode_混合,cfg_子弹,cfg_三叉戟,cfg_鼓动段,cfg_连续拍滑,cfg_连续双押,cfg_错位,cfg_侧边双押,cfg_出张,cfg_一笔画,cfg_绕圈星星,cfg_纵连,cfg_轴交互,cfg_3+1,cfg_三角交互,cfg_二连扫,cfg_跳拍,cfg_反手,cfg_定拍,cfg_单双/双单,cfg_双押纵,cfg_2+1,cfg_穿心,cfg_双压连续拍滑,cfg_挥手段,cfg_普通交互,cfg_散点,cfg_CYCLES型星星,cfg_大风车,cfg_拆弹,cfg_楼梯交互,cfg_长纵连,cfg_逆楼梯/方向盘,cfg_井字星星,cfg_死镰段,cfg_大宇宙,cfg_夹键拍滑,cfg_同起点拍滑,cfg_如龙段,cfg_N+1
song,-OutsideRRequieM-,オンゲキ＆CHUNITHM,13.6,181.0,97,0.6402,0.0861,0.5701,0.3944,0.6825,0.3196,0.2062,0.0825,0.0412,0.0412,0.0309,0.3608,0.0412,0.0412,0.1546,0.3299,0.0412,0.0412,0.1134,0.0619,0.0309,0.0722,0.0206,0.0309,0.0206,0.0722,0.0825,0.0412,0.0206,0.0515,0.0309,0.0412,0.0206,0.0103,0.0206,,,,,,,,,,,,,,,
song,7thSense,maimai,14.4,150.0,80,0.6942,0.2952,0.5968,0.5025,0.5598,0.3125,0.1,0.05,0.2625,0.0125,0.1125,0.2375,0.025,,,0.4,0.05,,0.1625,0.1,0.0625,0.025,0.0875,,0.05,0.1875,0.1375,0.1625,,,0.0375,,,,0.025,0.0875,0.0375,0.0125,0.025,,,,,,,,,,,
song,ARROW,niconico＆ボーカロイド,13.3,131.0,68,0.6561,0.1341,0.5659,0.5075,0.8319,0.2794,0.2059,0.0882,0.0588,0.0147,0.0294,0.1324,0.0588,,,0.2794,0.0882,,0.2206,0.0882,0.0441,,,,,,0.1324,0.2206,,0.2353,,,0.0294,,,0.0147,,,,0.0147,,,,,,,,,,
song,Acceleration,maimai,13.4,180.0,59,0.7793,0.1044,0.58,0.4054,0.6524,0.4746,0.0847,0.0,0.0847,0.0678,0.0678,0.0339,,,,0.1186,0.0508,0.1525,0.0847,,,,,,,0.4237,0.0169,0.1186,,0.2034,,,,,,0.0339,0.0508,,,,,,,,,,,,,
song,Aiolos,maimai,14.3,205.0,106,0.8207,0.1424,0.5438,0.2739,0.6682,0.5566,0.066,0.0189,0.0566,0.0472,0.0943,0.0189,,,0.0377,0.3585,0.0189,,0.0849,,,0.0755,0.0472,,0.0283,0.1132,0.1038,0.1321,,0.0566,,,,,,0.0943,0.0189,,,,0.0189,0.0377,0.0094,0.0094,,,,,,
song,Axeria,maimai,14.5,193.0,85,0.8206,0.1319,0.4292,0.126,0.6994,0.4824,0.1059,0.0,0.0353,0.0118,0.1529,0.0118,,,0.0706,0.1176,0.1765,,0.1765,0.0353,0.0235,,0.1294,,0.0235,0.1294,0.3059,0.1529,,0.0235,,,,,,,,,,0.0353,0.0235,,,0.0824,0.0471,0.0235,,,,
song,B.M.S.,ゲーム＆バラエティ,14.2,200.0,77,0.7889,0.1766,0.7,0.3209,0.7883,0.4156,0.0909,0.026,0.1429,0.013,0.1039,0.1429,0.0519,,0.0519,0.2078,,0.013,0.026,,,0.0519,0.1299,,0.013,0.1299,,0.1818,0.2857,0.3506,0.026,0.039,,0.013,0.0519,0.013,0.026,,,,0.013,0.013,,,,0.013,0.0519,,,
song,BAD∞END∞NIGHT,niconico＆ボーカロイド,13.5,204.0,80,0.6879,0.0898,0.4325,0.4699,0.8487,0.35,0.1625,0.075,0.0375,0.0125,0.0375,,0.025,,0.1,0.1375,0.0125,0.0375,0.1625,0.0125,0.0125,0.0375,,,0.0125,0.025,0.1625,0.1375,,0.0875,,0.0875,,,,0.025,,,,,,,,0.05,,,,,,
song,Back 2 Back,ゲーム＆バラエティ,13.7,150.0,66,0.3616,0.0227,0.7091,0.4298,0.6393,0.0,0.2727,0.3939,0.0,0.0303,0.0758,,0.0303,0.1212,0.1667,,0.0152,,0.2727,0.8939,0.1818,,0.1212,,,,,0.0606,,,,,,,0.0303,,,,,,,,,,,,,0.0455,,
song,Bang Babang Bang!!!,オンゲキ＆CHUNITHM,13.2,200.0,100,0.7306,0.0736,0.5653,0.4421,0.7128,0.4,0.08,0.04,0.02,0.07,0.03,0.17,0.01,,0.03,0.22,0.12,,0.21,0.07,0.06,,,,0.01,,0.03,0.03,,0.02,,,,0.01,,0.01,,0.01,,,,,0.01,0.06,,,,,,
