scope,song,genre,song_kind,level,bpm,n_bars,function,label_ja,skeleton_top,coverage_mean,coverage_ctrl_mean,extra_ratio_mean,rest_beats_mean,hardness_mean,intensity_mean,notes_per_bar,pool_per_bar,rho_I_hardness,rho_I_density,mode_全采,mode_半采,mode_稀采/空音,mode_加花,mode_静默,mode_混合,cfg_错位,cfg_普通交互,cfg_纵连,cfg_长纵连,cfg_三角交互,cfg_轴交互,cfg_楼梯交互,cfg_逆楼梯/方向盘,cfg_大宇宙,cfg_散点,cfg_跳拍,cfg_定拍,cfg_子弹,cfg_单双/双单,cfg_连续双押,cfg_双押纵,cfg_侧边双押
song,-OutsideRRequieM-,オンゲキ＆CHUNITHM,vocal,13.6,181.0,104,,,drums,0.6258,0.5528,0.0852,0.99,0.4768,0.6659,7.856,5.385,0.2292,0.3734,0.2885,0.2308,0.0962,0.0385,0.1058,0.2404,0.1058,0.0673,0.0673,0.0,0.0288,0.0288,0.0385,0.0288,0.0385,0.0,0.0769,0.0192,0.3654,0.0481,0.3654,0.0481,0.0769
song,7thSense,maimai,instrumental,14.4,150.0,80,,,drums,0.6942,0.423,0.2952,0.766,0.5683,0.5598,10.738,6.075,0.6122,0.7234,0.3125,0.0375,0.0625,0.2625,0.0125,0.3125,0.275,0.3125,0.05,0.0,0.05,0.0875,0.0375,0.05,0.0375,0.0,0.15,0.0,0.2625,0.0625,0.4375,0.0375,0.025
song,ARROW,niconico＆ボーカロイド,vocal,13.3,131.0,68,,,drums,0.6561,0.556,0.1341,0.79,0.4884,0.8319,9.662,5.853,0.3606,0.4234,0.2794,0.0882,0.0882,0.0588,0.0147,0.4706,0.0588,0.1471,0.0,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.1324,0.0,0.1471,0.2353,0.3529,0.0,0.0441
song,Acceleration,maimai,instrumental,13.4,180.0,60,,,drums,0.7793,0.6265,0.1027,0.617,0.5225,0.6427,7.733,4.333,0.6707,0.4928,0.4667,0.0833,0.0167,0.0833,0.0833,0.2667,0.1167,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0333,0.2,0.1167,0.0,0.15
song,Aiolos,maimai,instrumental,14.3,205.0,110,,,drums,0.8116,0.4661,0.1584,0.366,0.4345,0.6598,10.0,4.955,0.305,0.5051,0.5364,0.0455,0.0273,0.0545,0.0818,0.2545,0.1,0.2909,0.0636,0.0364,0.0273,0.0091,0.0182,0.0091,0.0545,0.0636,0.1,0.0,0.0182,0.0545,0.3727,0.0,0.0
song,Axeria,maimai,instrumental,14.5,193.0,87,,,drums,0.8098,0.3816,0.1288,0.5,0.5143,0.6925,10.207,5.218,0.4227,0.368,0.4713,0.0575,0.0,0.0345,0.0345,0.4023,0.3678,0.1839,0.0,0.0,0.023,0.1609,0.023,0.0,0.046,0.023,0.2414,0.0,0.0115,0.0115,0.2184,0.0,0.0
song,B.M.S.,ゲーム＆バラエティ,vocal,14.2,200.0,78,,,drums,0.7921,0.5036,0.1766,0.513,0.5838,0.7825,10.936,5.09,0.0153,0.1572,0.4103,0.0897,0.0385,0.141,0.0256,0.2949,0.1026,0.3462,0.0513,0.0128,0.0128,0.0897,0.0128,0.0,0.0,0.0385,0.0,0.2821,0.1667,0.3462,0.2949,0.1026,0.0128
song,BAD∞END∞NIGHT,niconico＆ボーカロイド,vocal,13.5,204.0,80,,,drums,0.6879,0.4154,0.0898,0.808,0.4044,0.8487,6.2,4.338,0.2478,0.1894,0.35,0.125,0.1,0.0375,0.0125,0.375,0.075,0.0625,0.0375,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,0.0,0.0875,0.1375,0.0,0.0375
song,Back 2 Back,ゲーム＆バラエティ,vocal,13.7,150.0,67,,,bass,0.3562,0.2649,0.0227,2.396,0.6725,0.6406,5.687,6.254,0.4616,0.1501,0.0,0.3433,0.4627,0.0,0.0448,0.1493,0.4478,0.0,0.0,0.0,0.0,0.1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
song,Bang Babang Bang!!!,オンゲキ＆CHUNITHM,vocal,13.2,200.0,103,,,drums,0.7219,0.2559,0.0736,0.631,0.528,0.695,7.34,5.029,0.4735,0.529,0.3883,0.1068,0.0485,0.0194,0.0971,0.3398,0.2427,0.1262,0.0,0.0,0.0097,0.0,0.0097,0.0097,0.0194,0.0,0.0291,0.0,0.2233,0.0583,0.2718,0.0485,0.0
song,Barbed Eye,maimai,vocal,13.0,135.0,79,,,drums,0.6924,0.4027,0.1557,0.854,0.5976,0.7753,10.215,5.456,0.5418,0.4717,0.3165,0.0886,0.038,0.0886,0.0253,0.443,0.1013,0.1646,0.0,0.0,0.0253,0.0,0.0127,0.0,0.0,0.0253,0.1899,0.0,0.3544,0.3165,0.4684,0.0,0.0
song,Believe the Rainbow,maimai,vocal,13.4,133.0,77,,,drums,0.3626,0.0939,0.0512,2.175,0.4434,0.6434,5.779,5.766,0.3592,0.3356,0.039,0.2208,0.3506,0.0649,0.2078,0.1169,0.2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.0
song,Black Out,maimai,instrumental,13.3,142.0,44,,,drums,0.6776,0.5418,0.0905,0.71,0.4842,0.7918,7.705,6.773,0.6341,0.503,0.2273,0.0909,0.0682,0.0227,0.0,0.5909,0.4545,0.0455,0.2955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2045,0.0,0.2273,0.0455,0.1136,0.0,0.0455
song,Brain Power,ゲーム＆バラエティ,instrumental,13.4,170.0,76,,,drums,0.7194,0.5546,0.0565,0.888,0.4978,0.8157,8.724,4.974,0.2593,0.479,0.4474,0.1184,0.0526,0.0132,0.0395,0.3289,0.1053,0.0921,0.1316,0.0,0.0263,0.0263,0.1316,0.0,0.0789,0.0,0.0263,0.0,0.0395,0.0263,0.2632,0.0132,0.0921
song,Contrapasso -paradiso-,maimai,instrumental,14.4,243.0,126,,,drums,0.7172,0.6254,0.1066,0.506,0.5974,0.698,8.127,3.786,0.5002,0.662,0.4286,0.0873,0.0238,0.0476,0.1032,0.3095,0.0476,0.1111,0.0952,0.0,0.0238,0.0,0.0238,0.0,0.0,0.0317,0.0397,0.0,0.2857,0.1032,0.3571,0.0556,0.0
song,Cosmic Magic Shooter,東方Project,vocal,13.9,163.0,72,,,drums,0.6955,0.2498,0.036,0.656,0.5755,0.7656,10.597,5.875,0.5292,0.4634,0.25,0.2639,0.0833,0.0,0.0,0.4028,0.1667,0.125,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.1389,0.1806,0.6528,0.1111,0.0139
song,DO RORO DERODERO ON DO RORO,ゲーム＆バラエティ,vocal,13.7,190.0,78,,,drums,0.7178,0.392,0.1784,0.827,0.5724,0.8514,6.603,3.897,-0.2972,-0.2881,0.3205,0.0256,0.1026,0.1282,0.0641,0.359,0.1154,0.3077,0.0128,0.0,0.1154,0.0,0.0256,0.0,0.0641,0.0,0.3718,0.0,0.1795,0.0,0.0256,0.0,0.0128
song,DRAGONLADY,ゲーム＆バラエティ,vocal,13.9,150.0,55,,,piano,0.8817,0.7643,0.072,0.323,0.5515,0.8278,11.673,6.291,0.1263,0.5739,0.6727,0.0,0.0,0.0,0.0364,0.2909,0.3273,0.3818,0.1273,0.0,0.0909,0.0182,0.0545,0.0,0.0364,0.0364,0.4182,0.0364,0.4182,0.0,0.0545,0.0182,0.0
song,Danza zandA,maimai,instrumental,13.4,129.0,59,,,other,0.6823,0.3074,0.1293,0.712,0.4316,0.8007,10.814,5.627,-0.1262,0.0804,0.2712,0.0,0.0678,0.0339,0.0339,0.5932,0.1864,0.0678,0.0,0.0,0.0339,0.0,0.0,0.0,0.0,0.0,0.1864,0.0,0.1017,0.1695,0.6102,0.0339,0.0847
song,Death Scythe,maimai,instrumental,13.8,182.0,89,,,drums,0.8015,0.7465,0.0829,0.646,0.4465,0.8114,8.573,5.944,0.1662,0.6211,0.618,0.0899,0.0112,0.0112,0.0449,0.2247,0.4045,0.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.1573,0.0,0.0562,0.0449,0.0,0.0,0.0225
song,D✪N’T ST✪P R✪CKIN’,maimai,vocal,13.8,140.0,72,,,drums,0.6329,0.3725,0.1825,1.108,0.5602,0.6894,11.139,5.639,0.2109,-0.0201,0.125,0.3056,0.0833,0.1111,0.0,0.375,0.1528,0.125,0.0278,0.0,0.0139,0.0,0.0278,0.0278,0.0278,0.0,0.0278,0.0278,0.1111,0.0556,0.3611,0.0278,0.0833
song,ECHO,niconico＆ボーカロイド,vocal,13.5,140.0,74,,,drums,0.6697,0.4876,0.1971,0.794,0.666,0.7036,10.378,5.432,0.7326,0.7475,0.2568,0.3108,0.0135,0.0811,0.027,0.3108,0.5135,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0811,0.1081,0.0676,0.5405,0.3378,0.0,0.1622
song,Endless World,maimai,vocal,13.0,142.0,66,,,drums,0.4592,0.3323,0.0961,1.205,0.4467,0.8347,6.03,7.045,0.1327,0.1414,0.0152,0.2727,0.2273,0.0758,0.0455,0.3636,0.1515,0.0,0.0606,0.0303,0.0,0.0,0.0,0.0,0.0,0.0,0.2727,0.0,0.2121,0.0909,0.0152,0.0,0.0303
song,FEEL ALIVE,maimai,instrumental,13.7,162.0,55,,,drums,0.696,0.6706,0.1181,1.064,0.4803,0.7669,8.527,7.018,0.11,0.2243,0.3273,0.1455,0.0,0.0182,0.1091,0.4,0.3636,0.4364,0.1273,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.1273,0.0,0.1273,0.0,0.0909,0.0,0.0
song,FFT,maimai,instrumental,14.0,180.0,95,,,drums,0.6684,0.2586,0.1947,0.921,0.571,0.6826,8.937,4.979,0.4939,0.4597,0.2842,0.1789,0.0421,0.1579,0.0842,0.2526,0.4842,0.0421,0.0421,0.0,0.0,0.0316,0.0,0.0,0.0,0.0,0.0947,0.0,0.1263,0.0842,0.2316,0.0526,0.0
song,FLOWER,ゲーム＆バラエティ,instrumental,13.9,173.0,86,,,drums,0.6831,0.4325,0.1829,0.741,0.563,0.6764,9.442,5.023,0.4017,0.6027,0.3256,0.0465,0.093,0.1047,0.0698,0.3605,0.1512,0.0814,0.0116,0.0,0.0116,0.0,0.0116,0.0,0.0,0.0,0.3837,0.0,0.1395,0.1279,0.2326,0.0349,0.0465
song,FUJIN Rumble,ゲーム＆バラエティ,instrumental,14.5,192.0,96,,,drums,0.8305,0.4775,0.2018,0.462,0.5576,0.6379,10.417,5.865,0.3653,0.7632,0.5104,0.0417,0.0,0.0521,0.1146,0.2812,0.0625,0.3021,0.0833,0.0,0.0417,0.0104,0.0833,0.0312,0.0833,0.0,0.3021,0.0,0.0833,0.125,0.25,0.0,0.0
song,GOODMEN,ゲーム＆バラエティ,instrumental,13.4,175.0,91,,,drums,0.7734,0.5925,0.0666,0.673,0.5041,0.7465,9.615,5.736,0.1673,0.5202,0.5604,0.0769,0.0549,0.011,0.011,0.2857,0.4725,0.022,0.0769,0.022,0.011,0.0,0.022,0.0,0.022,0.0,0.1319,0.0,0.2857,0.2967,0.0989,0.0,0.0
song,Garden Of The Dragon,ゲーム＆バラエティ,instrumental,13.5,120.0,54,,,drums,0.5863,0.2673,0.1702,0.816,0.5292,0.8092,12.519,11.63,0.0079,0.3664,0.2407,0.0,0.0926,0.0926,0.0556,0.5185,0.2593,0.4815,0.0,0.0,0.0741,0.0,0.1852,0.0,0.0185,0.1111,0.2222,0.0,0.1111,0.0741,0.3889,0.037,0.0
song,Get Happy,maimai,instrumental,13.8,150.0,75,,,drums,0.6903,0.4531,0.0728,0.68,0.2682,0.7699,9.067,7.587,-0.1978,-0.1653,0.28,0.12,0.0533,0.0,0.0133,0.5333,0.0933,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.3867,0.04,0.04,0.0,0.0133
song,Got more raves？,ゲーム＆バラエティ,instrumental,14.1,266.0,134,,,drums,0.7348,0.1295,0.2115,0.593,0.4071,0.7609,6.731,4.067,0.0917,0.3923,0.3284,0.1493,0.0522,0.0672,0.0672,0.3358,0.1194,0.4552,0.0373,0.0,0.0448,0.1045,0.1418,0.0,0.0448,0.0,0.0448,0.0,0.3358,0.0149,0.1493,0.0149,0.0075
song,HERA,maimai,instrumental,14.3,185.0,105,,,drums,0.7661,0.4646,0.0484,0.755,0.5321,0.695,9.819,5.771,0.2623,0.6019,0.5143,0.1143,0.019,0.0095,0.0762,0.2667,0.2,0.219,0.0667,0.1048,0.1048,0.0,0.1333,0.0,0.0952,0.0,0.0857,0.0952,0.181,0.019,0.3143,0.1333,0.0
song,HIMITSUスパーク,POPS＆アニメ,vocal,13.2,156.0,86,,,drums,0.6892,0.3212,0.1267,0.991,0.4418,0.7012,7.767,5.047,0.2695,0.2414,0.3372,0.1744,0.0349,0.0465,0.0349,0.3721,0.0698,0.1163,0.0,0.0,0.0233,0.0,0.0233,0.0,0.0,0.0,0.093,0.0,0.2907,0.0465,0.3837,0.0,0.0
song,Hyper Active,maimai,instrumental,13.9,160.0,90,,,drums,0.7498,0.6084,0.2134,0.725,0.67,0.7716,11.822,6.544,0.447,0.1682,0.4222,0.0333,0.0222,0.1111,0.0111,0.4,0.4556,0.3222,0.0111,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.2889,0.0,0.2778,0.1444,0.1889,0.0,0.0222
song,Imperishable Night 2006 (2016 Refine),東方Project,instrumental,13.8,161.0,87,,,drums,0.7584,0.6206,0.058,0.666,0.6519,0.6627,11.989,7.908,0.3372,0.5467,0.5172,0.0575,0.023,0.0115,0.0,0.3908,0.5402,0.2759,0.046,0.0,0.1724,0.023,0.1839,0.0,0.1149,0.0,0.2529,0.0,0.2299,0.2644,0.1724,0.0,0.0
song,Infantoon Fantasy,オンゲキ＆CHUNITHM,instrumental,13.8,185.0,110,,,drums,0.7109,0.5071,0.1115,0.77,0.5412,0.6873,9.445,6.345,0.5315,0.6279,0.4091,0.1727,0.0364,0.0364,0.0364,0.3091,0.1,0.1091,0.0364,0.0,0.0091,0.0,0.0455,0.0,0.0,0.0,0.1545,0.0,0.2455,0.0455,0.4545,0.0818,0.0
song,JACKY [Remix],ゲーム＆バラエティ,instrumental,13.7,135.0,49,,,drums,0.5102,0.3088,0.089,1.214,0.5518,0.7658,7.878,9.061,0.3314,0.5199,0.0408,0.102,0.1837,0.0204,0.0,0.6531,0.4694,0.1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2449,0.0,0.2449,0.0,0.0,0.0,0.0
song,Jack-the-Ripper◆,ゲーム＆バラエティ,instrumental,14.1,210.0,127,,,drums,0.7565,0.4437,0.1766,0.524,0.4583,0.6184,7.346,4.953,0.304,0.2646,0.4961,0.063,0.0551,0.0945,0.0157,0.2756,0.0866,0.6063,0.0,0.0,0.0079,0.063,0.0866,0.0,0.063,0.0551,0.0709,0.0,0.0236,0.0945,0.0945,0.0079,0.0
song,Jumble Rumble,maimai,instrumental,14.0,185.0,96,,,other,0.839,0.6771,0.0491,0.452,0.394,0.7664,11.26,7.24,0.4128,0.2626,0.7188,0.0625,0.0104,0.0,0.0,0.2083,0.2396,0.3229,0.1354,0.0,0.0104,0.0,0.0417,0.0,0.0312,0.0,0.3854,0.0,0.0729,0.1354,0.4062,0.0,0.0
song,KISS CANDY FLAVOR,ゲーム＆バラエティ,vocal,13.4,146.0,83,,,drums,0.705,0.5419,0.0879,0.869,0.4916,0.5794,8.795,6.253,0.3582,0.2612,0.2771,0.1687,0.0361,0.0241,0.0361,0.4578,0.2048,0.4337,0.0241,0.0,0.0361,0.0723,0.0482,0.0,0.0,0.0241,0.2048,0.0,0.2169,0.0,0.2651,0.0482,0.012
song,Kattobi KEIKYU Rider,オンゲキ＆CHUNITHM,vocal,13.7,220.0,134,,,drums,0.5098,0.2293,0.081,1.384,0.4702,0.6176,6.299,5.5,0.0782,0.2327,0.1493,0.2015,0.1716,0.0299,0.1119,0.3358,0.0299,0.0821,0.0,0.0,0.0,0.0,0.0075,0.0,0.0149,0.0,0.0299,0.0,0.0522,0.1269,0.1269,0.0597,0.0672
song,L4TS2018 (feat. あひる & KTA),ゲーム＆バラエティ,vocal,13.3,190.0,84,,,drums,0.5926,0.2326,0.0481,1.121,0.5197,0.7913,6.833,5.071,0.3869,0.5109,0.2143,0.2619,0.0833,0.0238,0.119,0.2976,0.0476,0.0476,0.0,0.0,0.0,0.0714,0.0,0.0238,0.0119,0.0,0.1548,0.0,0.1786,0.0595,0.1905,0.0238,0.0
