song,genre,kind,level,bpm,audio_dur,n_vocal_onsets,vad_active,lrc_source,lrc_match_score,lrc_n_lines,lrc_n_candidates,lrc_span_sec,lrc_tail_over_clip_sec,tempo_nR2,tempo_nR2_foreign,align_ok,align_z,align_hit_rate,align_null_rate,align_delta,align_n_lines_in,align_spliced,foreign_z,foreign_hit_rate,n_phrases,T1_head_lift,T1_head_p,T1_head_lift_foreign,T1_slide_lift,T1_break_lift,T2_pre_lift,T2_gap_lift,T2_gap_over_inside,T3_rho_syllable,T3_rho_phrase_starts,T3_rho_intensity,T3_r2_gain_syllable,T4_rho_dur_notes,T4_rho_syl_notes,C_n_detected,C_head_lift,C_head_p,C_head_slide_lift,C_head_break_lift,C_gap_lift,C_rho_phrase_start,C_rho_in_gap,C_rho_intensity,C_r2_gain
-OutsideRRequieM-,オンゲキ＆CHUNITHM,vocal,13.6,181.0,144.0,168,0.593,netease,0.859,43,2,164.7,42.7,12.8,2.24,True,8.13,0.78,0.239,-1.76,41,True,8.85,0.906,41,1.2156,0.05,0.9951,1.4926,1.3512,0.9799,,,-0.0276,0.0631,0.3731,0.0288,0.4758,0.0411,35,1.1189,0.12,0.8282,3.9572,0.9774,0.02,-0.0671,0.3731,0.1088
7thSense,maimai,instrumental,14.4,150.0,131.9,48,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.891,0.795,0.3961,0.8283,1.0804,0.0671,0.3244,0.7234,0.0003
ARROW,niconico＆ボーカロイド,vocal,13.3,131.0,136.1,172,0.793,netease,1.2,38,6,184.0,70.1,8.38,0.04,True,8.25,0.882,0.261,37.03,34,True,4.8,0.846,34,0.9858,0.59,1.1783,1.2174,1.4203,1.0731,1.1293,1.1774,-0.129,-0.0383,0.4234,0.0001,0.5455,0.5134,46,0.837,0.99,0.528,0.9855,0.9634,-0.1086,-0.0865,0.4234,0.0409
Acceleration,maimai,instrumental,13.4,180.0,84.4,47,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9696,0.525,0.5021,4.0169,1.0288,-0.0913,0.1493,0.4928,0.0285
Aiolos,maimai,instrumental,14.3,205.0,132.7,203,0.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,1.0488,0.135,1.2402,0.8406,0.9717,0.0202,-0.0822,0.5049,0.0086
Axeria,maimai,instrumental,14.5,193.0,115.5,96,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1.0863,0.065,1.4689,6.1053,0.8001,-0.0196,-0.1781,0.3678,0.0042
B.M.S.,ゲーム＆バラエティ,vocal,14.2,200.0,98.0,149,0.773,lrclib,0.76,29,2,111.1,25.0,0.06,1.02,False,3.91,0.722,0.3,-21.24,18,False,5.22,0.769,18,0.9489,0.66,1.1187,1.6885,0.5556,0.747,,,-0.1582,-0.2026,0.1572,0.0376,0.3787,0.3295,59,1.044,0.32,1.5779,0.3461,1.0197,-0.1619,-0.182,0.1572,0.0207
BAD∞END∞NIGHT,niconico＆ボーカロイド,vocal,13.5,204.0,102.3,152,0.754,lrclib,1.246,60,6,245.0,143.2,4.58,0.35,True,5.13,0.81,0.298,13.58,21,False,5.57,0.722,21,1.0107,0.515,0.9353,1.4942,0.9206,1.0107,,,0.0068,-0.0762,0.1888,0.0008,0.8872,0.8108,49,0.8843,0.965,1.1984,0.4028,1.0004,-0.0018,-0.0451,0.1888,0.0011
Back 2 Back,ゲーム＆バラエティ,vocal,13.7,150.0,112.7,208,0.63,lrclib,0.836,75,6,184.4,73.8,0.94,1.47,True,5.05,0.723,0.368,74.41,47,True,6.0,0.825,47,1.0844,0.295,0.9453,1.078,2.8298,0.803,,,-0.1788,-0.1518,0.1501,0.0657,0.7554,0.3554,38,1.1119,0.315,1.0821,7.3041,0.9268,0.0029,0.0401,0.1501,0.008
Bang Babang Bang!!!,オンゲキ＆CHUNITHM,vocal,13.2,200.0,127.8,276,0.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1.0986,0.175,1.0325,0.4779,0.4688,-0.0448,-0.4797,0.5294,0.0005
Barbed Eye,maimai,vocal,13.0,135.0,148.3,230,0.747,netease,1.236,19,2,134.6,-12.7,3.83,0.6,False,4.06,0.846,0.321,-28.6,13,False,6.15,0.672,13,1.349,0.01,1.108,1.7789,0.0,0.9293,,,0.06,0.0386,0.4717,0.0013,0.8886,0.2296,39,0.9693,0.65,1.6603,1.008,1.0171,-0.0599,0.0625,0.4717,0.0372
Believe the Rainbow,maimai,vocal,13.4,133.0,146.0,220,0.747,netease,0.863,26,1,133.5,-4.3,6.78,1.6,True,5.91,0.846,0.31,-1.29,26,True,5.15,0.818,26,1.1675,0.21,0.8746,1.1927,0.0,1.0083,0.237,0.2292,0.0616,0.0677,0.3356,0.0165,0.7895,0.1914,33,1.1498,0.22,1.0807,0.0,1.009,-0.0619,0.0165,0.3356,0.0169
Black Out,maimai,instrumental,13.3,142.0,84.8,195,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1.0354,0.44,0.9487,3.7608,1.0344,0.1847,0.311,0.5025,0.1302
Brain Power,ゲーム＆バラエティ,instrumental,13.4,170.0,114.6,168,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,1.0009,0.485,1.4045,1.1265,1.2068,-0.0372,0.1533,0.4793,0.1107
Contrapasso -paradiso-,maimai,instrumental,14.4,243.0,129.8,95,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1.065,0.23,0.8947,1.9783,1.0053,0.0597,0.0906,0.6619,0.0211
Cosmic Magic Shooter,東方Project,vocal,13.9,163.0,112.6,150,0.566,netease,0.865,39,1,249.3,136.7,21.5,0.23,True,7.16,1.0,0.27,10.66,19,True,5.45,1.0,19,1.1488,0.195,1.1626,2.2216,1.5751,1.2355,0.766,0.6834,0.4432,0.119,0.4659,0.0404,0.8203,0.3658,38,0.9107,0.865,0.5073,1.7983,0.8384,-0.0437,-0.4764,0.4659,0.0544
